Category,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020
< 18,,,,,,,,,0.0,0.0,1.0,1.0,4.0,4.0,5,7,9,12,20,23,27,31,47,53,65,74,89,123,126,142,155,166,180,191,194,203,207,216,226,234,249,263,271,281,288,295,312,318,326,339,342,349,358,372,384,391,400,412,425,432,448,470,474,485,493,522,537,555,570,595,606,618,633,706,804.0,805.0
18 - 29,,,,,,,,,10.0,15.0,21.0,32.0,56.0,58.0,85,103,151,197,234,295,318,367,496,632,878,981,1197,1247,1477,1637,1720,1889,2003,2103,2177,2225,2294,2341,2417,2507,2566,2621,2676,2728,2800,2864,2914,2962,2996,3046,3080,3132,3183,3312,3363,3391,3434,3488,3565,3593,3628,3707,3737,3771,3814,3925,4027,4094,4142,4212,4278,4352,4402,4570,5015.0,5041.0
30 - 39,,,,,,,,,22.0,40.0,53.0,75.0,117.0,122.0,170,195,256,329,403,491,515,584,819,1027,1454,1647,1989,2048,2380,2620,2745,2924,3072,3198,3277,3339,3421,3489,3573,3656,3723,3779,3880,3928,3981,4058,4133,4198,4229,4270,4306,4371,4441,4570,4645,4668,4719,4763,4818,4855,4890,4988,5014,5049,5081,5201,5300,5370,5417,5469,5521,5588,5639,5794,5842.0,5867.0
40 - 49,,,,,,,,,44.0,66.0,90.0,113.0,169.0,182.0,238,277,362,470,538,649,691,777,993,1228,1714,1906,2313,2395,2759,2977,3103,3303,3444,3566,3654,3729,3805,3865,3964,4054,4112,4172,4269,4316,4366,4437,4489,4575,4620,4660,4700,4754,4795,4921,5000,5032,5085,5128,5198,5222,5259,5343,5372,5403,5435,5519,5594,5639,5688,5737,5786,5858,5907,6058,6146.0,6171.0
50 - 59,,,,,,,,,45.0,55.0,75.0,108.0,152.0,165.0,229,274,362,459,570,708,738,843,1090,1334,1929,2178,2628,2737,3117,3401,3547,3808,3963,4100,4196,4274,4346,4429,4525,4605,4683,4713,4845,4905,4975,5052,5124,5180,5207,5260,5285,5347,5391,5543,5606,5635,5679,5736,5799,5833,5862,5938,5961,5995,6034,6132,6308,6365,6408,6452,6496,6538,6586,6753,6871.0,6885.0
60 - 69,,,,,,,,,35.0,55.0,68.0,96.0,135.0,150.0,219,265,329,417,490,591,641,730,938,1138,1640,1854,2234,2306,2649,2904,3041,3258,3438,3549,3633,3711,3789,3862,3952,4063,4121,4168,4259,4297,4337,4408,4462,4505,4553,4594,4631,4677,4738,4808,4861,4884,4931,4984,5053,5088,5114,5187,5212,5242,5273,5351,5500,5532,5557,5590,5618,5649,5676,5843,5749.0,5761.0
70+,,,,,,,,,40.0,49.0,84.0,112.0,130.0,156.0,226,267,323,421,491,558,606,693,854,1012,1470,1657,2046,2154,2359,2603,2719,2935,3153,3307,3464,3535,3656,3749,3875,3999,4126,4212,4323,4399,4511,4625,4706,4774,4842,4899,4942,5030,5095,5185,5281,5339,5425,5485,5541,5629,5654,5784,5830,5870,5920,6012,6223,6282,6335,6377,6404,6435,6473,6780,6498.0,6510.0
Unknown,1.0,6.0,12.0,18.0,35.0,72.0,101.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,,,,,,,,,46.0,47.0,46.0,42.0,43.0,41,42,41,43,43,43,43,42,41,40,40,40,40,40,40,55,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40.0,40.0
Female,,,,,,,,,,54.0,53.0,54.0,58.0,57.0,59,58,59,57,57,57,57,58,54,54,55,54,55,55,55,40,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,54,54,55,55,55,55,55,55,55.0,55.0
Unknown/Other,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,6,6,5,5,5,5,5,5,5.0,5.0
Median Age,,,,,,,,,,,,,,,53,54,52,53,53,52,53,53,53,54,54,54,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,51,51,51,51,51,51,51,,
