FIPS,County,State,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020
22001,Acadia,LA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,3,8,9,9,11,39,47,61,72,65,75,79,82,86,89,94,98,99,101,104,105,108,110,110,110,114,114,117,117,129,130,130,130,130,130,130,133,133,134,134,136,140,142,142,151,148,152,152,151,159,189,192,198,257,262,262,269,289,290,291,299,395,397,401,401,412,418,422,428,446,462,467,500,502,513,517,520,529,535,577,583,597,604,625,625,639,646,654,669,705,726,745,783,783,812,850,878,919,945,968,968,1016,1042,1068,1094,1166,1232,1297,1339,1383,1453,1510,1574,1610,1610,1696,1844,1920,2011,2084,2111,2111,2173,2215,2229,2266,2299,2331,2331,2380,2403,2513,2536,2555,2570,2570,2598,2601,2634,2652,2673,2684,2684,2696,2701,2708,2712,2731,2735,2735,2743,2748,2776,2775,2781,2799,2799,2808,2809,2817
22003,Allen,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,7,9,11,15,19,26,34,39,40,52,58,65,66,67,71,73,74,74,74,78,79,79,79,79,79,80,81,81,82,82,87,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,94,94,94,99,100,118,131,157,172,182,182,182,182,184,184,184,184,184,184,184,184,185,186,186,186,186,188,189,189,189,193,210,222,226,230,243,243,223,224,226,228,256,257,257,274,274,284,287,304,310,316,321,321,344,354,368,387,410,432,444,467,480,497,514,554,573,573,628,727,753,777,847,917,917,986,993,1001,1021,1029,1036,1036,1117,1156,1210,1219,1232,1245,1245,1276,1278,1284,1321,1332,1367,1367,1378,1382,1386,1389,1390,1402,1402,1409,1409,1426,1430,1434,1437,1437,1443,1447,1441
22005,Ascension,LA,0,0,0,0,0,0,0,1,1,1,2,3,12,17,26,36,65,91,90,107,139,153,161,189,201,222,284,286,347,358,366,370,397,415,428,432,438,440,451,468,496,508,512,515,533,536,551,557,568,574,576,587,593,627,636,644,647,657,664,672,675,689,694,695,701,704,745,749,752,756,760,762,768,782,785,785,786,788,792,805,810,810,817,820,827,841,852,861,865,876,882,889,900,906,912,918,931,935,948,957,962,962,961,989,997,1008,1044,1070,1094,1115,1115,1146,1157,1171,1213,1246,1278,1278,1331,1358,1412,1441,1480,1532,1564,1597,1622,1655,1710,1755,1826,1826,1896,1976,2022,2077,2132,2175,2175,2249,2335,2357,2383,2444,2458,2458,2609,2643,2681,2725,2768,2798,2798,2871,2890,2930,2941,2970,3016,3016,3064,3084,3108,3118,3140,3175,3175,3218,3226,3245,3257,3267,3291,3291,3324,3344,3377
22007,Assumption,LA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,8,8,14,17,20,25,31,33,56,59,77,84,89,94,105,109,116,120,123,129,132,137,143,146,146,151,154,158,166,172,173,175,177,178,182,189,194,197,201,202,203,206,206,208,228,228,230,231,234,235,229,230,230,230,233,238,238,238,238,243,245,245,248,248,251,252,252,252,252,252,253,254,257,257,258,259,258,258,263,269,274,276,282,282,324,327,327,330,334,334,334,338,338,343,351,352,357,364,373,373,381,383,390,399,404,410,415,424,430,432,435,439,445,445,449,452,462,463,477,484,484,493,509,515,521,531,537,537,552,555,557,561,569,577,577,584,588,591,598,600,606,606,613,616,617,623,626,628,628,631,631,651,649,654,653,653,664,667,669
22009,Avoyelles,LA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,7,10,12,13,14,19,31,34,37,36,37,40,45,48,56,56,61,61,64,65,64,66,68,68,69,69,69,71,71,69,69,69,69,71,71,71,73,72,74,74,73,74,74,74,74,74,75,76,79,79,80,89,92,93,94,96,99,101,103,104,113,115,117,120,120,125,128,130,136,141,149,151,155,161,165,175,178,178,181,184,185,188,188,193,193,200,204,204,206,238,254,277,294,294,308,309,319,341,375,378,378,386,390,402,418,447,460,475,482,489,512,549,565,588,588,619,655,699,741,754,781,781,827,842,851,867,895,907,907,939,951,981,987,1002,1021,1021,1070,1070,1096,1107,1128,1138,1138,1143,1149,1157,1172,1178,1196,1196,1211,1218,1248,1255,1261,1268,1268,1279,1285,1294
22011,Beauregard,LA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,4,4,5,5,8,10,13,15,19,23,23,23,26,27,27,27,28,28,30,33,35,35,35,36,36,36,35,35,35,35,36,37,37,39,42,42,43,43,43,44,44,44,46,46,46,46,48,49,50,51,52,52,52,52,54,56,56,56,58,58,61,61,61,66,66,69,69,81,90,99,102,101,106,114,116,117,127,134,134,136,136,139,139,147,155,158,159,165,168,173,184,184,191,193,201,214,228,231,231,247,259,269,274,291,319,350,361,367,375,385,414,441,441,471,493,497,529,572,591,591,624,648,661,678,697,743,743,773,789,797,800,814,819,819,833,835,837,863,868,878,878,884,886,896,909,920,928,928,938,941,924,926,928,932,932,940,942,941
22013,Bienville,LA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,5,6,6,8,9,10,12,14,17,17,24,27,30,33,37,37,42,45,58,65,66,66,66,69,69,69,70,72,73,73,74,77,77,76,76,78,78,78,78,77,77,77,77,77,80,81,83,82,83,84,84,84,114,136,136,137,138,138,139,139,139,144,146,147,147,149,149,151,152,153,154,157,166,167,170,172,173,175,176,183,183,196,198,200,200,209,210,210,211,211,220,220,227,227,230,233,233,233,234,244,248,254,258,261,265,266,272,275,278,284,284,297,317,317,327,333,339,339,340,340,340,345,348,348,348,353,353,354,359,362,364,364,381,382,386,387,388,390,390,395,399,400,401,401,401,401,403,403,409,414,412,412,412,417,414,418
22015,Bossier,LA,0,0,0,0,0,1,1,1,1,2,4,5,5,5,12,12,25,32,37,45,56,57,63,75,87,95,126,133,139,146,159,171,175,178,186,188,207,211,220,230,230,233,233,241,246,255,258,265,270,274,277,285,286,287,292,295,300,300,303,307,308,310,310,312,313,324,327,336,342,344,346,348,353,374,380,381,382,398,398,402,406,406,412,415,416,421,425,438,450,453,463,464,473,478,484,488,494,502,510,513,528,528,643,654,665,668,697,720,751,780,780,825,836,875,906,947,971,971,1007,1030,1099,1142,1177,1219,1254,1274,1315,1370,1403,1432,1474,1474,1564,1602,1655,1701,1742,1776,1776,1855,1894,1926,1978,2017,2054,2054,2111,2118,2192,2275,2295,2311,2311,2333,2339,2374,2390,2428,2445,2445,2464,2471,2488,2499,2508,2520,2520,2549,2557,2619,2653,2667,2674,2674,2693,2703,2728
22017,Caddo,LA,0,0,0,0,0,0,0,3,4,6,10,12,15,16,34,40,93,115,140,189,219,222,242,298,336,377,598,647,711,756,803,906,950,974,1018,1033,1097,1118,1154,1220,1244,1261,1276,1310,1332,1389,1407,1432,1448,1470,1497,1525,1540,1579,1601,1610,1629,1639,1667,1690,1712,1743,1751,1765,1784,1800,1818,1846,1864,1877,1898,1912,1939,2272,2293,2299,2312,2343,2347,2427,2480,2480,2525,2562,2578,2609,2633,2676,2699,2713,2731,2737,2755,2784,2794,2803,2830,2853,2869,2888,2933,2933,2831,2881,2905,2920,2953,2995,3096,3161,3161,3211,3260,3309,3418,3520,3598,3598,3706,3740,3835,3946,4055,4213,4276,4323,4413,4522,4606,4681,4798,4798,4965,5041,5093,5254,5357,5469,5469,5652,5745,5809,5933,6007,6144,6144,6261,6299,6324,6516,6566,6610,6610,6668,6688,6739,6771,6851,6887,6887,6936,6949,6980,7012,7060,7112,7112,7156,7180,7117,7225,7278,7320,7320,7407,7417,7452
22019,Calcasieu,LA,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,5,11,15,22,28,35,42,65,90,108,119,135,139,159,186,191,209,228,248,259,268,273,282,300,309,309,323,324,334,341,352,356,360,363,369,377,386,389,437,449,455,464,470,475,478,481,490,493,496,496,505,507,513,514,517,520,521,521,548,567,568,568,572,578,581,588,588,596,599,608,611,613,621,625,632,637,642,661,673,684,701,741,755,772,789,824,824,831,876,888,921,971,1010,1061,1138,1138,1205,1257,1300,1729,1852,2000,2000,2153,2289,2408,2701,2797,2975,3061,3127,3236,3435,3705,3864,4028,4028,4231,4481,4578,4742,4995,5127,5127,5459,5626,5709,5810,5913,6278,6278,6440,6527,6594,6641,6695,6752,6752,6815,6815,6862,6924,6960,7013,7013,7044,7045,7093,7154,7194,7235,7235,7277,7284,7256,7269,7285,7298,7298,7439,7441,7445
