LDH_Region,Race,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020
Region 1,American Indian/Alaskan Native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 1,Native Hawaiian/Other Pacific Islander,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Region 1,Other,7,7,7,7,7,7,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12
Region 1,White,184,184,184,184,184,184,235,235,235,235,235,235,235,269,269,269,269,269,269,269,284,284,284,284,284,284,284,315,315,315,315,315,315,315,319,319,319,319,319,319,319,333,333,333,333,333,333,333,343,343,343,343,343,343
Region 1,Asian,7,7,7,7,7,7,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13
Region 1,Black,395,395,395,395,395,395,508,508,508,508,508,508,508,566,566,566,566,566,566,566,593,593,593,593,593,593,593,617,617,617,617,617,617,617,627,627,627,627,627,627,627,629,629,629,629,629,629,629,633,633,633,633,633,633
Region 1,Unknown,65,65,65,65,65,65,6,6,6,6,6,6,6,3,3,3,3,3,3,3,6,6,6,6,6,6,6,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,3,3,3,3,3,3
Region 2,American Indian/Alaskan Native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 2,Native Hawaiian/Other Pacific Islander,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Region 2,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 2,White,53,53,53,53,53,53,77,77,77,77,77,77,77,106,106,106,106,106,106,106,129,129,129,129,129,129,129,154,154,154,154,154,154,154,169,169,169,169,169,169,169,176,176,176,176,176,176,176,181,181,181,181,181,181
Region 2,Asian,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Region 2,Black,108,108,108,108,108,108,139,139,139,139,139,139,139,172,172,172,172,172,172,172,202,202,202,202,202,202,202,222,222,222,222,222,222,222,235,235,235,235,235,235,235,243,243,243,243,243,243,243,253,253,253,253,253,253
Region 2,Unknown,8,8,8,8,8,8,5,5,5,5,5,5,5,2,2,2,2,2,2,2,6,6,6,6,6,6,6,1,1,1,1,1,1,1,4,4,4,4,4,4,4,0,0,0,0,0,0,0,3,3,3,3,3,3
Region 3,Other,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 3,Black,89,89,89,89,89,89,107,107,107,107,107,107,107,122,122,122,122,122,122,122,138,138,138,138,138,138,138,142,142,142,142,142,142,142,148,148,148,148,148,148,148,150,150,150,150,150,150,150,159,159,159,159,159,159
Region 3,Unknown,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 3,Asian,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Region 3,White,75,75,75,75,75,75,89,89,89,89,89,89,89,115,115,115,115,115,115,115,131,131,131,131,131,131,131,140,140,140,140,140,140,140,149,149,149,149,149,149,149,156,156,156,156,156,156,156,164,164,164,164,164,164
Region 3,American Indian/Alaskan Native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Region 3,Native Hawaiian/Other Pacific Islander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 4,Unknown,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 4,Asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 4,Black,30,30,30,30,30,30,36,36,36,36,36,36,36,40,40,40,40,40,40,40,44,44,44,44,44,44,44,46,46,46,46,46,46,46,48,48,48,48,48,48,48,50,50,50,50,50,50,50,52,52,52,52,52,52
Region 4,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 4,White,43,43,43,43,43,43,60,60,60,60,60,60,60,80,80,80,80,80,80,80,91,91,91,91,91,91,91,102,102,102,102,102,102,102,111,111,111,111,111,111,111,119,119,119,119,119,119,119,128,128,128,128,128,128
Region 4,American Indian/Alaskan Native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 4,Native Hawaiian/Other Pacific Islander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 5,Unknown,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 5,Other,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Region 5,White,16,16,16,16,16,16,21,21,21,21,21,21,21,24,24,24,24,24,24,24,31,31,31,31,31,31,31,35,35,35,35,35,35,35,37,37,37,37,37,37,37,39,39,39,39,39,39,39,41,41,41,41,41,41
Region 5,Native Hawaiian/Other Pacific Islander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 5,American Indian/Alaskan Native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 5,Black,17,17,17,17,17,17,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26
Region 5,Asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 6,Native Hawaiian/Other Pacific Islander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 6,White,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,13,13,13,13,13,13,13,18,18,18,18,18,18,18,21,21,21,21,21,21,21,26,26,26,26,26,26
Region 6,American Indian/Alaskan Native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 6,Black,10,10,10,10,10,10,14,14,14,14,14,14,14,17,17,17,17,17,17,17,19,19,19,19,19,19,19,22,22,22,22,22,22,22,26,26,26,26,26,26,26,28,28,28,28,28,28,28,35,35,35,35,35,35
Region 6,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Region 6,Unknown,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 6,Asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 7,White,31,31,31,31,31,31,39,39,39,39,39,39,39,53,53,53,53,53,53,53,65,65,65,65,65,65,65,73,73,73,73,73,73,73,80,80,80,80,80,80,80,89,89,89,89,89,89,89,99,99,99,99,99,99
Region 7,American Indian/Alaskan Native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 7,Unknown,5,5,5,5,5,5,4,4,4,4,4,4,4,0,0,0,0,0,0,0,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Region 7,Asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 7,Native Hawaiian/Other Pacific Islander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Region 7,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 7,Black,91,91,91,91,91,91,103,103,103,103,103,103,103,126,126,126,126,126,126,126,147,147,147,147,147,147,147,174,174,174,174,174,174,174,189,189,189,189,189,189,189,200,200,200,200,200,200,200,208,208,208,208,208,208
Region 8,Asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 8,White,10,10,10,10,10,10,13,13,13,13,13,13,13,20,20,20,20,20,20,20,22,22,22,22,22,22,22,33,33,33,33,33,33,33,40,40,40,40,40,40,40,41,41,41,41,41,41,41,58,58,58,58,58,58
Region 8,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Region 8,Unknown,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 8,Native Hawaiian/Other Pacific Islander,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 8,American Indian/Alaskan Native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 8,Black,14,14,14,14,14,14,18,18,18,18,18,18,18,27,27,27,27,27,27,27,36,36,36,36,36,36,36,47,47,47,47,47,47,47,53,53,53,53,53,53,53,58,58,58,58,58,58,58,69,69,69,69,69,69
Region 9,Native Hawaiian/Other Pacific Islander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 9,American Indian/Alaskan Native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 9,Asian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Region 9,Unknown,2,2,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2
Region 9,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 9,Black,40,40,40,40,40,40,43,43,43,43,43,43,43,51,51,51,51,51,51,51,55,55,55,55,55,55,55,58,58,58,58,58,58,58,61,61,61,61,61,61,61,64,64,64,64,64,64,64,71,71,71,71,71,71
Region 9,White,73,73,73,73,73,73,105,105,105,105,105,105,105,128,128,128,128,128,128,128,160,160,160,160,160,160,160,175,175,175,175,175,175,175,190,190,190,190,190,190,190,194,194,194,194,194,194,194,204,204,204,204,204,204
