Parish,Total Confirmed Cases,Total Confirmed Deaths,Total Molecular Tests,Total Probable Cases,Total Probable Deaths,Total Antigen Tests,,New Confirmed Cases,New Confirmed Deaths,New Molecular Tests,New Probable Cases,New Probable Deaths,New Antigen Tests
Jefferson,40000.0,786.0,501059.0,2339.0,29.0,21441.0,,121.0,-1.0,3114.0,5.0,0.0,206.0
East Baton Rouge,29037.0,638.0,369066.0,5051.0,60.0,34250.0,,92.0,1.0,1466.0,38.0,-1.0,438.0
Orleans,26276.0,697.0,673349.0,1099.0,47.0,19850.0,,117.0,1.0,8799.0,13.0,0.0,447.0
Caddo,22905.0,619.0,325180.0,1195.0,22.0,13095.0,,66.0,5.0,1869.0,3.0,1.0,282.0
St. Tammany,19180.0,448.0,256463.0,3327.0,10.0,26720.0,,64.0,0.0,784.0,20.0,0.0,122.0
Lafayette,18958.0,227.0,260118.0,2148.0,17.0,11487.0,,13.0,2.0,603.0,15.0,1.0,166.0
Ouachita,15852.0,363.0,192741.0,1554.0,28.0,8182.0,,12.0,1.0,194.0,12.0,0.0,137.0
Calcasieu,13972.0,315.0,134754.0,4464.0,17.0,26609.0,,30.0,0.0,739.0,79.0,0.0,560.0
Bossier,10792.0,232.0,138106.0,1812.0,17.0,9326.0,,54.0,0.0,958.0,3.0,0.0,161.0
Tangipahoa,8959.0,230.0,113909.0,2620.0,19.0,15008.0,,13.0,-1.0,196.0,25.0,0.0,155.0
Livingston,8913.0,149.0,90427.0,2799.0,17.0,16329.0,,26.0,1.0,372.0,29.0,0.0,276.0
Ascension,8678.0,127.0,82180.0,1987.0,14.0,11657.0,,28.0,0.0,345.0,13.0,0.0,100.0
Rapides,8568.0,258.0,150851.0,2420.0,14.0,13269.0,,-1.0,2.0,438.0,38.0,0.0,230.0
St. Landry,7360.0,214.0,101516.0,712.0,18.0,4339.0,,2.0,1.0,592.0,6.0,0.0,81.0
Terrebonne,7284.0,174.0,91906.0,1752.0,14.0,8850.0,,12.0,0.0,218.0,31.0,0.0,156.0
Lafourche,6757.0,176.0,90570.0,1945.0,12.0,12505.0,,24.0,1.0,376.0,23.0,0.0,353.0
Iberia,5758.0,129.0,68960.0,496.0,12.0,7910.0,,15.0,1.0,534.0,2.0,0.0,44.0
Acadia,5618.0,171.0,70896.0,312.0,6.0,2048.0,,15.0,0.0,255.0,5.0,0.0,49.0
Vermilion,4486.0,102.0,62925.0,212.0,1.0,1774.0,,2.0,0.0,297.0,1.0,0.0,13.0
St. Martin,4326.0,100.0,52902.0,398.0,8.0,2281.0,,26.0,2.0,499.0,3.0,0.0,49.0
St. Charles,4252.0,85.0,55606.0,663.0,3.0,4014.0,,13.0,0.0,278.0,1.0,0.0,25.0
Webster,3252.0,76.0,45298.0,574.0,12.0,4055.0,,0.0,0.0,331.0,2.0,0.0,9.0
St. Mary,3244.0,106.0,42389.0,720.0,11.0,4766.0,,11.0,0.0,105.0,12.0,0.0,140.0
Lincoln,3205.0,81.0,51915.0,949.0,3.0,9285.0,,7.0,0.0,127.0,1.0,0.0,105.0
St. John the Baptist,3180.0,122.0,43877.0,214.0,8.0,1557.0,,7.0,0.0,91.0,2.0,0.0,37.0
Avoyelles,3118.0,110.0,54010.0,442.0,6.0,3013.0,,-5.0,0.0,480.0,2.0,0.0,77.0
Washington,3033.0,106.0,45593.0,892.0,10.0,6500.0,,3.0,0.0,207.0,1.0,0.0,54.0
