Geography,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,1/1/2021,1/2/2021
Louisiana,0,1,6,12,18,35,75,101,136,196,280,392,537,763,837,1172,1388,1795,2305,2746,3315,3540,4025,5237,6424,9150,10297,12496,13010,14867,16284,17030,18283,19253,20014,20595,21016,21518,21951,22532,23118,23580,23928,24523,24854,25258,25739,26140,26512,26773,27068,27286,27660,28001,28711,29140,29340,29673,29996,30399,30652,30855,31417,31600,31815,32050,32662,33489,33837,34117,34432,34709,35038,35316,36504,36925,37040,37169,37809,38054,38497,38802,38802,39577,39916,40341,40746,41133,41562,41989,42486,42816,43050,43612,44030,44472,44995,46283,46619,47172,47706,48634,48634,48515,49385,49778,50239,51595,52477,53415,54769,54769,56236,57081,58095,60178,61561,63289,63289,65226,66327,68263,70151,71994,74636,76803,78122,79827,82042,84131,86411,88590,88590,91706,94892,96583,99354,101650,103734,103734,107574,109917,111038,112773,114481,116280,116280,119747,120846,124461,125943,127246,128746,128746,131399,131961,133125,134304,135439,136737,136737,137918,138485,139125,139903,140821,141720,141720,142943,143566,144116,144960,145637,146243,146243,147867,148193,148882,149838,150651,151473,151473,152868,153177,153433,154955,155419,156174,156174,157455,157947,158318,158826,159304,160283,160283,161219,161462,162214,162645,163222,163928,163928,164851,165091,165624,166033,166584,167401,167401,168294,168512,169044,170097,170621,170878,170878,172059,172119,172801,173121,173864,174638,174638,175781,175982,176681,177399,178171,178870,178870,179842,180069,180991,181443,181837,182270,182270,183341,183616,184769,185144,185825,186695,186695,187961,188352,189682,189682,191889,194685,194685,196924,197467,199659,200982,202743,207039,207039,210124,211094,213214,214237,214237,218796,218796,220309,220421,224410,227780,230029,232479,232479,235869,236879,238676,241348,243435,245626,245626,249301,250292,252459,254489,257483,259903,259903,263059,264187,266953,268984,271177,271177,271177,274048,274781,277887,282148,285477,285477,285477
Acadia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,3,8,9,9,11,39,47,61,72,65,75,79,82,86,89,94,98,99,101,104,105,108,110,110,110,114,114,117,117,129,130,130,130,130,130,130,133,133,134,134,136,140,142,142,151,148,152,152,151,159,189,192,198,257,262,262,269,289,290,291,299,395,397,401,401,412,418,422,428,446,462,467,500,502,513,517,520,529,535,577,583,597,604,625,625,639,646,654,669,705,726,745,783,783,812,850,878,919,945,968,968,1016,1042,1068,1094,1166,1232,1297,1339,1383,1453,1510,1574,1610,1610,1696,1844,1920,2011,2084,2111,2111,2173,2215,2229,2266,2299,2331,2331,2380,2403,2513,2536,2555,2570,2570,2598,2601,2634,2652,2673,2684,2684,2696,2701,2708,2712,2731,2735,2735,2743,2748,2776,2775,2781,2799,2799,2808,2809,2817,2821,2824,2828,2828,2844,2853,2841,2876,2877,2887,2887,2889,2891,2897,2901,2907,2917,2917,2920,2929,2930,2933,2935,2946,2946,2962,2959,2963,2969,2966,2982,2982,2992,2993,3000,3004,3014,3015,3015,3024,3026,3028,3034,3055,3053,3053,3052,3062,3082,3091,3112,3108,3108,3121,3119,3139,3147,3158,3169,3169,3182,3183,3291,3294,3312,3330,3330,3369,3370,3389,3389,3432,3484,3484,3512,3522,3570,3582,3616,3658,3658,3714,3737,3833,3848,3848,3909,3909,3941,3937,3981,4031,4080,4147,4147,4204,4230,4250,4305,4348,4383,4383,4451,4458,4497,4522,4565,4600,4600,4652,4663,4701,4718,4752,4752,4752,4775,4772,4805,4875,4929,4929,4929
Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,7,9,11,15,19,26,34,39,40,52,58,65,66,67,71,73,74,74,74,78,79,79,79,79,79,80,81,81,82,82,87,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,94,94,94,99,100,118,131,157,172,182,182,182,182,184,184,184,184,184,184,184,184,185,186,186,186,186,188,189,189,189,193,210,222,226,230,243,243,223,224,226,228,256,257,257,274,274,284,287,304,310,316,321,321,344,354,368,387,410,432,444,467,480,497,514,554,573,573,628,727,753,777,847,917,917,986,993,1001,1021,1029,1036,1036,1117,1156,1210,1219,1232,1245,1245,1276,1278,1284,1321,1332,1367,1367,1378,1382,1386,1389,1390,1402,1402,1409,1409,1426,1430,1434,1437,1437,1443,1447,1441,1447,1454,1458,1458,1461,1461,1462,1495,1500,1498,1498,1512,1514,1522,1523,1522,1530,1530,1529,1534,1541,1545,1551,1580,1580,1586,1590,1588,1596,1631,1678,1678,1698,1696,1706,1713,1721,1719,1719,1762,1760,1763,1771,1782,1790,1790,1804,1806,1814,1823,1835,1843,1843,1849,1851,1840,1844,1848,1848,1848,1856,1854,1872,1872,1877,1877,1877,1888,1889,1899,1899,1907,1919,1919,1934,1931,1945,1948,1952,2008,2008,2020,2027,2030,2032,2032,2047,2047,2047,2052,2060,2064,2072,2085,2085,2093,2098,2105,2116,2125,2118,2118,2139,2142,2172,2173,2208,2219,2219,2232,2232,2247,2252,2261,2261,2261,2265,2266,2267,2296,2310,2310,2310
Ascension,0,0,0,0,0,0,0,0,1,1,1,2,3,12,17,26,36,65,91,90,107,139,153,161,189,201,222,284,286,347,358,366,370,397,415,428,432,438,440,451,468,496,508,512,515,533,536,551,557,568,574,576,587,593,627,636,644,647,657,664,672,675,689,694,695,701,704,745,749,752,756,760,762,768,782,785,785,786,788,792,805,810,810,817,820,827,841,852,861,865,876,882,889,900,906,912,918,931,935,948,957,962,962,961,989,997,1008,1044,1070,1094,1115,1115,1146,1157,1171,1213,1246,1278,1278,1331,1358,1412,1441,1480,1532,1564,1597,1622,1655,1710,1755,1826,1826,1896,1976,2022,2077,2132,2175,2175,2249,2335,2357,2383,2444,2458,2458,2609,2643,2681,2725,2768,2798,2798,2871,2890,2930,2941,2970,3016,3016,3064,3084,3108,3118,3140,3175,3175,3218,3226,3245,3257,3267,3291,3291,3324,3344,3377,3395,3418,3429,3429,3457,3465,3474,3497,3512,3538,3538,3571,3588,3610,3627,3641,3657,3657,3684,3685,3693,3704,3717,3736,3736,3750,3757,3768,3784,3796,3804,3804,3806,3816,3826,3848,3862,3864,3864,3877,3880,3882,3876,3885,3921,3921,3950,3945,3955,3992,3998,4043,4043,4073,4075,4146,4169,4186,4212,4212,4299,4308,4338,4352,4382,4405,4405,4460,4466,4493,4493,4600,4697,4697,4805,4807,4881,4928,4972,5056,5056,5110,5128,5174,5183,5183,5260,5260,5288,5292,5439,5493,5522,5584,5584,5650,5692,5723,5844,5893,5915,5915,5980,6006,6027,6051,6114,6168,6168,6243,6263,6317,6360,6415,6415,6415,6477,6493,6619,6667,6731,6731,6731
Assumption,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,8,8,14,17,20,25,31,33,56,59,77,84,89,94,105,109,116,120,123,129,132,137,143,146,146,151,154,158,166,172,173,175,177,178,182,189,194,197,201,202,203,206,206,208,228,228,230,231,234,235,229,230,230,230,233,238,238,238,238,243,245,245,248,248,251,252,252,252,252,252,253,254,257,257,258,259,258,258,263,269,274,276,282,282,324,327,327,330,334,334,334,338,338,343,351,352,357,364,373,373,381,383,390,399,404,410,415,424,430,432,435,439,445,445,449,452,462,463,477,484,484,493,509,515,521,531,537,537,552,555,557,561,569,577,577,584,588,591,598,600,606,606,613,616,617,623,626,628,628,631,631,651,649,654,653,653,664,667,669,670,669,675,675,680,683,692,699,699,710,710,721,729,734,735,735,740,740,750,753,758,758,755,758,758,761,760,763,764,765,766,766,766,767,772,771,774,772,772,775,776,774,778,780,780,780,784,783,782,788,794,793,793,794,796,799,801,797,802,802,813,808,814,816,822,828,828,834,836,841,841,852,864,864,879,881,888,891,897,906,906,913,918,928,931,931,941,941,939,939,949,957,965,976,976,991,995,995,1011,1015,1018,1018,1032,1032,1048,1051,1060,1062,1062,1063,1076,1079,1097,1102,1102,1102,1118,1121,1130,1138,1148,1148,1148
Avoyelles,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,7,10,12,13,14,19,31,34,37,36,37,40,45,48,56,56,61,61,64,65,64,66,68,68,69,69,69,71,71,69,69,69,69,71,71,71,73,72,74,74,73,74,74,74,74,74,75,76,79,79,80,89,92,93,94,96,99,101,103,104,113,115,117,120,120,125,128,130,136,141,149,151,155,161,165,175,178,178,181,184,185,188,188,193,193,200,204,204,206,238,254,277,294,294,308,309,319,341,375,378,378,386,390,402,418,447,460,475,482,489,512,549,565,588,588,619,655,699,741,754,781,781,827,842,851,867,895,907,907,939,951,981,987,1002,1021,1021,1070,1070,1096,1107,1128,1138,1138,1143,1149,1157,1172,1178,1196,1196,1211,1218,1248,1255,1261,1268,1268,1279,1285,1294,1303,1305,1320,1320,1327,1331,1335,1396,1399,1398,1398,1419,1426,1431,1440,1441,1461,1461,1468,1469,1483,1491,1497,1514,1514,1526,1528,1528,1529,1536,1564,1564,1571,1572,1592,1599,1610,1617,1617,1628,1632,1631,1646,1652,1656,1656,1664,1667,1676,1679,1692,1700,1700,1707,1708,1737,1743,1754,1757,1757,1757,1756,1774,1774,1785,1788,1788,1801,1799,1815,1815,1823,1850,1850,1862,1868,1880,1886,1894,1929,1929,1946,1945,1959,1966,1966,1977,1977,1981,1985,2040,2066,2086,2104,2104,2128,2132,2153,2139,2162,2189,2189,2214,2215,2230,2252,2276,2294,2294,2313,2315,2340,2348,2366,2366,2366,2373,2378,2397,2444,2471,2471,2471
Beauregard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,4,4,5,5,8,10,13,15,19,23,23,23,26,27,27,27,28,28,30,33,35,35,35,36,36,36,35,35,35,35,36,37,37,39,42,42,43,43,43,44,44,44,46,46,46,46,48,49,50,51,52,52,52,52,54,56,56,56,58,58,61,61,61,66,66,69,69,81,90,99,102,101,106,114,116,117,127,134,134,136,136,139,139,147,155,158,159,165,168,173,184,184,191,193,201,214,228,231,231,247,259,269,274,291,319,350,361,367,375,385,414,441,441,471,493,497,529,572,591,591,624,648,661,678,697,743,743,773,789,797,800,814,819,819,833,835,837,863,868,878,878,884,886,896,909,920,928,928,938,941,924,926,928,932,932,940,942,941,944,953,949,949,951,955,952,961,959,964,964,970,969,966,970,973,980,980,983,986,985,984,989,995,995,1004,1007,1010,1013,1016,1018,1018,1024,1026,1024,1028,1029,1029,1029,1033,1035,1032,1033,1041,1041,1041,1045,1050,1050,1056,1063,1065,1065,1067,1068,1069,1069,1071,1077,1077,1086,1091,1092,1094,1103,1107,1107,1114,1120,1132,1132,1150,1168,1168,1189,1190,1199,1192,1229,1245,1245,1288,1296,1297,1302,1302,1328,1328,1337,1338,1360,1379,1403,1421,1421,1443,1447,1469,1485,1500,1509,1509,1531,1536,1545,1565,1581,1624,1624,1648,1662,1669,1676,1691,1691,1691,1700,1702,1706,1727,1763,1763,1763
Bienville,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,5,6,6,8,9,10,12,14,17,17,24,27,30,33,37,37,42,45,58,65,66,66,66,69,69,69,70,72,73,73,74,77,77,76,76,78,78,78,78,77,77,77,77,77,80,81,83,82,83,84,84,84,114,136,136,137,138,138,139,139,139,144,146,147,147,149,149,151,152,153,154,157,166,167,170,172,173,175,176,183,183,196,198,200,200,209,210,210,211,211,220,220,227,227,230,233,233,233,234,244,248,254,258,261,265,266,272,275,278,284,284,297,317,317,327,333,339,339,340,340,340,345,348,348,348,353,353,354,359,362,364,364,381,382,386,387,388,390,390,395,399,400,401,401,401,401,403,403,409,414,412,412,412,417,414,418,421,425,426,426,426,427,427,433,435,441,441,441,442,445,444,445,452,452,454,453,468,473,474,478,478,484,484,491,491,491,495,495,499,499,507,514,520,525,525,540,537,542,549,555,553,553,564,563,578,581,584,589,589,593,595,606,610,619,614,614,623,628,633,632,639,642,642,641,648,651,651,662,670,670,674,683,681,685,687,703,703,713,717,718,720,720,743,743,748,748,759,781,798,817,817,838,843,849,858,877,939,939,943,961,968,976,995,1007,1007,1015,1023,1035,1053,1059,1059,1059,1070,1067,1075,1098,1110,1110,1110
Bossier,0,0,0,0,0,0,1,1,1,1,2,4,5,5,5,12,12,25,32,37,45,56,57,63,75,87,95,126,133,139,146,159,171,175,178,186,188,207,211,220,230,230,233,233,241,246,255,258,265,270,274,277,285,286,287,292,295,300,300,303,307,308,310,310,312,313,324,327,336,342,344,346,348,353,374,380,381,382,398,398,402,406,406,412,415,416,421,425,438,450,453,463,464,473,478,484,488,494,502,510,513,528,528,643,654,665,668,697,720,751,780,780,825,836,875,906,947,971,971,1007,1030,1099,1142,1177,1219,1254,1274,1315,1370,1403,1432,1474,1474,1564,1602,1655,1701,1742,1776,1776,1855,1894,1926,1978,2017,2054,2054,2111,2118,2192,2275,2295,2311,2311,2333,2339,2374,2390,2428,2445,2445,2464,2471,2488,2499,2508,2520,2520,2549,2557,2619,2653,2667,2674,2674,2693,2703,2728,2732,2749,2776,2776,2814,2826,2836,2849,2861,2894,2894,2926,2942,2952,2964,3005,3068,3068,3119,3122,3138,3181,3212,3241,3241,3281,3303,3318,3329,3368,3401,3401,3417,3427,3473,3491,3524,3534,3534,3602,3607,3674,3692,3761,3821,3821,3894,3909,3983,4023,4082,4129,4129,4188,4212,4259,4286,4322,4339,4339,4381,4399,4446,4468,4550,4572,4572,4636,4660,4717,4717,4817,4922,4922,5003,5010,5111,5170,5370,5521,5521,5639,5655,5718,5764,5764,5921,5921,5956,5959,6075,6192,6253,6325,6325,6436,6458,6515,6598,6677,6761,6761,6857,6868,6927,7042,7137,7217,7217,7356,7391,7478,7551,7606,7606,7606,7709,7729,7806,8051,8164,8164,8164
Caddo,0,0,0,0,0,0,0,0,3,4,6,10,12,15,16,34,40,93,115,140,189,219,222,242,298,336,377,598,647,711,756,803,906,950,974,1018,1033,1097,1118,1154,1220,1244,1261,1276,1310,1332,1389,1407,1432,1448,1470,1497,1525,1540,1579,1601,1610,1629,1639,1667,1690,1712,1743,1751,1765,1784,1800,1818,1846,1864,1877,1898,1912,1939,2272,2293,2299,2312,2343,2347,2427,2480,2480,2525,2562,2578,2609,2633,2676,2699,2713,2731,2737,2755,2784,2794,2803,2830,2853,2869,2888,2933,2933,2831,2881,2905,2920,2953,2995,3096,3161,3161,3211,3260,3309,3418,3520,3598,3598,3706,3740,3835,3946,4055,4213,4276,4323,4413,4522,4606,4681,4798,4798,4965,5041,5093,5254,5357,5469,5469,5652,5745,5809,5933,6007,6144,6144,6261,6299,6324,6516,6566,6610,6610,6668,6688,6739,6771,6851,6887,6887,6936,6949,6980,7012,7060,7112,7112,7156,7180,7117,7225,7278,7320,7320,7407,7417,7452,7482,7546,7581,7581,7662,7679,7687,7729,7762,7843,7843,7908,7926,7929,8001,8069,8188,8188,8236,8270,8312,8360,8403,8457,8457,8538,8556,8601,8654,8713,8765,8765,8850,8884,8974,9027,9107,9117,9117,9233,9237,9329,9348,9478,9532,9532,9649,9670,9729,9784,9855,9928,9928,10025,10046,10105,10146,10206,10262,10262,10350,10370,10469,10528,10594,10679,10679,10825,10881,10953,10953,11136,11266,11266,11425,11470,11593,11678,11803,12202,12202,12428,12464,12616,12725,12725,13025,13025,13088,13095,13370,13750,13902,14075,14075,14253,14306,14441,14536,14668,14849,14849,15014,15049,15122,15293,15520,15650,15650,15892,15972,16132,16342,16511,16511,16511,16737,16843,17000,17287,17503,17503,17503
