,Cumulative U.S. Cases,Cumulative U.S. Recovered,Cumulative U.S. Deaths
01/13/2020,0.0,0.0,0.0
01/14/2020,0.0,0.0,0.0
01/15/2020,0.0,0.0,0.0
01/16/2020,0.0,0.0,0.0
01/17/2020,0.0,0.0,0.0
01/18/2020,0.0,0.0,0.0
01/19/2020,0.0,0.0,0.0
01/20/2020,0.0,0.0,0.0
01/21/2020,0.0,0.0,0.0
01/22/2020,1.0,0.0,0.0
01/23/2020,1.0,0.0,0.0
01/24/2020,2.0,0.0,0.0
01/25/2020,2.0,0.0,0.0
01/26/2020,5.0,0.0,0.0
01/27/2020,5.0,0.0,0.0
01/28/2020,5.0,0.0,0.0
01/29/2020,6.0,0.0,0.0
01/30/2020,6.0,0.0,0.0
01/31/2020,8.0,0.0,0.0
02/01/2020,8.0,0.0,0.0
02/02/2020,8.0,0.0,0.0
02/03/2020,11.0,0.0,0.0
02/04/2020,11.0,0.0,0.0
02/05/2020,11.0,0.0,0.0
02/06/2020,12.0,0.0,0.0
02/07/2020,12.0,0.0,0.0
02/08/2020,12.0,0.0,0.0
02/09/2020,12.0,0.0,0.0
02/10/2020,12.0,0.0,0.0
02/11/2020,13.0,0.0,0.0
02/12/2020,13.0,0.0,0.0
02/13/2020,14.0,0.0,0.0
02/14/2020,14.0,0.0,0.0
02/15/2020,14.0,0.0,0.0
02/16/2020,14.0,0.0,0.0
02/17/2020,14.0,0.0,0.0
02/18/2020,14.0,0.0,0.0
02/19/2020,14.0,0.0,0.0
02/20/2020,14.0,0.0,0.0
02/21/2020,16.0,0.0,0.0
02/22/2020,16.0,0.0,0.0
02/23/2020,16.0,0.0,0.0
02/24/2020,16.0,0.0,0.0
02/25/2020,16.0,0.0,0.0
02/26/2020,16.0,0.0,0.0
02/27/2020,17.0,0.0,0.0
02/28/2020,17.0,0.0,0.0
02/29/2020,25.0,0.0,1.0
03/01/2020,32.0,0.0,1.0
03/02/2020,55.0,0.0,6.0
03/03/2020,75.0,0.0,7.0
03/04/2020,108.0,0.0,11.0
03/05/2020,185.0,0.0,12.0
03/06/2020,238.0,0.0,14.0
03/07/2020,404.0,0.0,17.0
03/08/2020,520.0,0.0,21.0
03/09/2020,595.0,0.0,22.0
03/10/2020,783.0,0.0,28.0
03/11/2020,1151.0,0.0,33.0
03/12/2020,1591.0,0.0,43.0
03/13/2020,2224.0,0.0,51.0
03/14/2020,2989.0,0.0,58.0
03/15/2020,3233.0,0.0,70.0
03/16/2020,4691.0,0.0,97.0
