Parish,Total Confirmed Cases,Total Confirmed Deaths,Total Molecular Tests,Total Probable Cases,Total Probable Deaths,Total Antigen Tests,,New Confirmed Cases,New Confirmed Deaths,New Molecular Tests,New Probable Cases,New Probable Deaths,New Antigen Tests
East Baton Rouge,22245.0,537.0,286436.0,2189.0,27.0,15264.0,,0.0,0.0,0.0,0.0,0.0,0.0
Tangipahoa,7220.0,163.0,93037.0,1378.0,7.0,7771.0,,0.0,0.0,0.0,0.0,0.0,0.0
Livingston,6839.0,108.0,71388.0,1421.0,9.0,8202.0,,0.0,0.0,0.0,0.0,0.0,0.0
Ascension,6415.0,108.0,63902.0,980.0,6.0,5290.0,,0.0,0.0,0.0,0.0,0.0,0.0
Iberville,2337.0,70.0,25441.0,224.0,0.0,1292.0,,0.0,0.0,0.0,0.0,0.0,0.0
East Feliciana,2028.0,86.0,29651.0,364.0,4.0,2934.0,,0.0,0.0,0.0,0.0,0.0,0.0
Pointe Coupee,1523.0,52.0,17089.0,288.0,4.0,1887.0,,0.0,0.0,0.0,0.0,0.0,0.0
West Baton Rouge,1499.0,46.0,15605.0,231.0,1.0,1312.0,,0.0,0.0,0.0,0.0,0.0,0.0
St. James,1165.0,42.0,15534.0,88.0,1.0,516.0,,0.0,0.0,0.0,0.0,0.0,0.0
Assumption,1102.0,25.0,14430.0,174.0,1.0,1098.0,,0.0,0.0,0.0,0.0,0.0,0.0
West Feliciana,894.0,25.0,11014.0,13.0,0.0,351.0,,0.0,0.0,0.0,0.0,0.0,0.0
St. Helena,548.0,4.0,8065.0,118.0,0.0,1822.0,,0.0,0.0,0.0,0.0,0.0,0.0
