,F0,PFIPS,Latitude,Longitude,LDHH,Parish,Deaths_Black,Deaths_White,Deaths_Other,Deaths_Unknown,Cases_Black,Cases_White,Cases_Other,Cases_Unknown,Black_2018pop,White_2018pop,Other_2018pop,FID
0,1,22001,30.2907,-92.412,4.0,Acadia,47.0,167.0,2.0,0.0,1814,4859,1293,647,11139.0,49471.0,1958.0,1
1,2,22003,30.6531,-92.8278,5.0,Allen,20.0,71.0,3.0,0.0,832,2089,570,370,4878.0,18903.0,1880.0,2
2,3,22005,30.2036,-90.9113,2.0,Ascension,73.0,110.0,6.0,1.0,4372,11795,1362,852,26398.0,88396.0,6382.0,3
3,4,22007,29.9009,-91.0626,3.0,Assumption,19.0,21.0,0.0,0.0,1000,1942,137,120,6807.0,15439.0,468.0,4
4,5,22009,31.0765,-92.0014,6.0,Avoyelles,46.0,90.0,0.0,0.0,1815,2916,546,352,11769.0,27130.0,1983.0,5
5,6,22011,30.6488,-93.3433,5.0,Beauregard,10.0,72.0,2.0,0.0,437,2539,853,368,4580.0,30483.0,1706.0,6
6,7,22013,32.3474,-93.056,7.0,Bienville,42.0,42.0,0.0,0.0,829,753,312,85,5884.0,7449.0,335.0,7
7,8,22015,32.6796,-93.6052,7.0,Bossier,90.0,232.0,6.0,0.0,4605,10342,1783,763,28131.0,90948.0,7052.0,8
8,9,22017,32.5811,-93.8825,7.0,Caddo,430.0,356.0,9.0,0.0,16733,12518,2316,1304,121444.0,115209.0,11708.0,9
9,10,22019,30.2294,-93.358,5.0,Calcasieu,131.0,355.0,2.0,0.0,6727,16783,2188,1850,49884.0,140575.0,9723.0,10
10,11,22021,32.0924,-92.1166,8.0,Caldwell,2.0,28.0,0.0,0.0,200,784,281,121,1671.0,8211.0,114.0,11
11,12,22023,29.9188,-93.1565,5.0,Cameron,,,,,46,777,62,75,290.0,6408.0,170.0,12
12,13,22025,31.6337,-91.9015,6.0,Catahoula,6.0,33.0,0.0,0.0,353,738,141,191,3210.0,6564.0,119.0,13
13,14,22027,32.8229,-92.9957,7.0,Claiborne,32.0,23.0,1.0,0.0,896,611,144,29,8397.0,7398.0,358.0,14
14,15,22029,31.4464,-91.64,6.0,Concordia,28.0,34.0,0.0,0.0,974,1344,159,142,8230.0,11579.0,212.0,15
15,16,22031,32.0572,-93.7354,7.0,De Soto,47.0,39.0,0.0,0.0,1511,1755,280,200,9728.0,16367.0,1121.0,16
16,17,22033,30.5385,-91.0956,2.0,East Baton Rouge,488.0,443.0,20.0,1.0,25223,21446,4304,3181,204036.0,210236.0,29822.0,17
17,18,22035,32.7328,-91.235,8.0,East Carroll,22.0,6.0,0.0,0.0,734,251,203,74,5051.0,2105.0,69.0,18
18,19,22037,30.8452,-91.0455,2.0,East Feliciana,52.0,73.0,1.0,0.0,1903,1664,297,110,8588.0,10562.0,349.0,19
19,20,22039,30.7292,-92.4059,4.0,Evangeline,32.0,67.0,2.0,0.0,1307,2261,650,381,9253.0,22791.0,1592.0,20
20,21,22041,32.1335,-91.6737,8.0,Franklin,36.0,76.0,0.0,0.0,1184,1526,231,549,6713.0,13322.0,287.0,21
21,22,22043,31.5999,-92.5595,6.0,Grant,13.0,46.0,0.0,0.0,425,1968,247,289,3733.0,17551.0,1064.0,22
22,23,22045,29.968,-91.7532,4.0,Iberia,50.0,126.0,3.0,0.0,3336,5324,884,703,23053.0,44409.0,5229.0,23
23,24,22047,30.2184,-91.3602,2.0,Iberville,63.0,45.0,2.0,0.0,2412,2284,283,145,15935.0,16248.0,773.0,24
24,25,22049,32.3022,-92.5578,8.0,Jackson,25.0,31.0,0.0,0.0,503,977,619,247,4771.0,10901.0,254.0,25
25,26,22051,29.7304,-90.1281,1.0,Jefferson,349.0,594.0,38.0,0.0,15838,32474,9208,3628,116621.0,273395.0,45284.0,26
26,27,22053,30.268,-92.8141,5.0,Jefferson Davis,17.0,83.0,2.0,0.0,721,2663,379,239,5215.0,25140.0,1112.0,27
27,28,22059,31.6771,-92.1605,6.0,La Salle,6.0,33.0,0.0,0.0,202,1309,383,272,1855.0,12639.0,455.0,28
28,29,22055,30.2069,-92.0639,4.0,Lafayette,103.0,220.0,5.0,0.0,9290,16766,3552,2857,62139.0,167347.0,10605.0,29
29,30,22057,29.5703,-90.4363,3.0,Lafourche,49.0,187.0,1.0,0.0,2230,11038,1542,598,13064.0,77351.0,7799.0,30
30,31,22061,32.6018,-92.6648,8.0,Lincoln,50.0,50.0,0.0,0.0,1979,2650,676,335,19343.0,25524.0,2489.0,31
31,32,22063,30.4504,-90.7392,9.0,Livingston,24.0,233.0,0.0,0.0,2091,16234,1460,865,8323.0,125734.0,4054.0,32
32,33,22065,32.3674,-91.2454,8.0,Madison,20.0,26.0,0.0,0.0,1032,421,238,117,7301.0,4074.0,97.0,33
33,34,22067,32.8205,-91.8018,8.0,Morehouse,38.0,45.0,0.0,0.0,1851,1429,250,138,12793.0,12857.0,342.0,34
34,35,22069,31.7242,-93.0963,7.0,Natchitoches,47.0,56.0,1.0,0.0,1999,2188,551,174,15775.0,20896.0,2292.0,35
35,36,22071,30.0682,-89.8826,1.0,Orleans,612.0,220.0,16.0,0.0,22075,12972,3824,1912,232789.0,132423.0,24436.0,36
36,37,22073,32.4785,-92.1548,8.0,Ouachita,173.0,308.0,3.0,0.0,9005,9717,4084,1590,58507.0,93224.0,4344.0,37
37,39,0,0.0,0.0,,Parish Under Investigation,,,,,181,231,109,272,,,,38
38,40,22075,29.6355,-89.8455,1.0,Plaquemines,8.0,19.0,3.0,0.0,688,2063,375,221,4786.0,15871.0,2716.0,39
39,41,22077,30.6081,-91.5663,2.0,Pointe Coupee,27.0,49.0,0.0,0.0,1158,1823,277,173,7874.0,13504.0,780.0,40
40,42,22079,31.199,-92.5332,6.0,Rapides,127.0,227.0,7.0,0.0,5665,8431,1653,866,41846.0,83774.0,5926.0,41
41,43,22081,32.0933,-93.3399,7.0,Red River,19.0,22.0,1.0,0.0,482,445,67,22,3364.0,4938.0,316.0,42
42,44,22083,32.4623,-91.7328,8.0,Richland,18.0,42.0,0.0,0.0,1204,1492,266,216,7286.0,12652.0,536.0,43
43,45,22085,31.5719,-93.5273,7.0,Sabine,12.0,54.0,1.0,0.0,586,1873,913,137,3931.0,16735.0,3422.0,44
44,46,22087,29.8573,-89.7757,1.0,St. Bernard,18.0,46.0,0.0,0.0,1480,3520,502,218,10445.0,31838.0,3411.0,45
45,47,22089,29.884,-90.3624,3.0,St. Charles,39.0,65.0,1.0,0.0,2019,5221,378,232,13967.0,36775.0,1982.0,46
46,48,22091,30.8221,-90.7103,9.0,St. Helena,,,,,878,490,70,62,5626.0,4583.0,202.0,47
47,49,22093,30.0264,-90.7963,3.0,St. James,34.0,21.0,0.0,0.0,1262,1329,71,81,10622.0,10345.0,390.0,48
48,50,22095,30.0771,-90.5468,3.0,St. John the Baptist,77.0,72.0,0.0,0.0,3106,1631,306,255,24192.0,17206.0,2048.0,49
49,51,22097,30.5991,-92.0058,4.0,St. Landry,103.0,174.0,0.0,0.0,4598,5243,924,647,34320.0,46910.0,2219.0,50
50,52,22099,30.2284,-91.7268,4.0,St. Martin,46.0,80.0,0.0,0.0,2294,4157,708,274,15737.0,35555.0,2460.0,51
51,53,22101,29.7238,-91.4516,3.0,St. Mary,71.0,90.0,4.0,0.0,2018,3843,875,331,16158.0,31169.0,4407.0,52
52,54,22103,30.4469,-89.9387,9.0,St. Tammany,75.0,503.0,4.0,0.0,5353,26487,2310,2136,29803.0,209123.0,13167.0,53
53,55,22105,30.6463,-90.412,9.0,Tangipahoa,105.0,272.0,4.0,0.0,6195,10825,1255,664,38593.0,87582.0,4329.0,54
54,56,22107,32.0019,-91.34,8.0,Tensas,,,,,247,147,17,20,2543.0,2093.0,30.0,55
55,57,22109,29.4379,-90.8475,3.0,Terrebonne,58.0,183.0,12.0,0.0,3527,9510,1459,707,21588.0,79613.0,11386.0,56
56,58,22111,32.8321,-92.3749,8.0,Union,37.0,49.0,2.0,0.0,1009,1557,395,138,5594.0,16026.0,855.0,57
57,59,22113,29.846,-92.3236,4.0,Vermilion,22.0,117.0,3.0,0.0,1388,5309,798,526,8841.0,48733.0,2293.0,58
58,60,22115,31.1086,-93.1841,6.0,Vernon,12.0,111.0,0.0,0.0,565,2548,785,495,7437.0,38648.0,4922.0,59
59,61,22117,30.8535,-90.0405,9.0,Washington,55.0,102.0,1.0,0.0,1770,3531,621,349,13987.0,31134.0,1336.0,60
60,62,22119,32.714,-93.335,7.0,Webster,44.0,73.0,2.0,0.0,1756,2637,596,184,13568.0,25179.0,884.0,61
61,63,22121,30.4635,-91.3128,2.0,West Baton Rouge,42.0,25.0,0.0,0.0,1625,1893,203,147,10320.0,15008.0,532.0,62
62,64,22123,32.7888,-91.4567,8.0,West Carroll,6.0,36.0,1.0,0.0,175,441,793,43,1800.0,8992.0,388.0,63
63,65,22125,30.8759,-91.4126,2.0,West Feliciana,18.0,18.0,0.0,0.0,687,572,285,69,6807.0,8243.0,327.0,64
64,66,22127,31.9445,-92.6367,6.0,Winn,13.0,34.0,1.0,0.0,510,1045,285,171,4583.0,9618.0,293.0,65
