,OBJECTID,RecID,PFIPS,Latitude,Longitude,LDHH,Parish,Deaths_Black,Deaths_White,Deaths_Other,Deaths_Unknown,Cases_Black,Cases_White,Cases_Other,Cases_Unknown,Black_2018pop,White_2018pop,Other_2018pop
0,1,1,22001,30.2907,-92.412,4.0,Acadia,61.0,203.0,2.0,0.0,3269,8122,1723,1418,11139.0,49471.0,1958.0
1,2,2,22003,30.6531,-92.8278,5.0,Allen,24.0,94.0,2.0,0.0,1523,3614,796,1031,4878.0,18903.0,1880.0
2,3,3,22005,30.2036,-90.9113,2.0,Ascension,91.0,161.0,6.0,0.0,8536,19633,2153,2017,26398.0,88396.0,6382.0
3,4,4,22007,29.9009,-91.0626,3.0,Assumption,25.0,36.0,0.0,0.0,1728,3173,193,381,6807.0,15439.0,468.0
4,5,5,22009,31.0765,-92.0014,6.0,Avoyelles,52.0,133.0,0.0,0.0,3434,5070,1015,849,11769.0,27130.0,1983.0
5,6,6,22011,30.6488,-93.3433,5.0,Beauregard,15.0,115.0,2.0,0.0,833,4392,1648,910,4580.0,30483.0,1706.0
6,7,7,22013,32.3474,-93.056,7.0,Bienville,54.0,48.0,0.0,0.0,1446,1398,469,207,5884.0,7449.0,335.0
7,8,8,22015,32.6796,-93.6052,7.0,Bossier,116.0,307.0,8.0,0.0,9385,19382,2809,2723,28131.0,90948.0,7052.0
8,9,9,22017,32.5811,-93.8825,7.0,Caddo,537.0,481.0,8.0,0.0,31913,22403,3539,4091,121444.0,115209.0,11708.0
9,10,10,22019,30.2294,-93.358,5.0,Calcasieu,158.0,492.0,4.0,0.0,12170,26527,3444,5498,49884.0,140575.0,9723.0
10,11,11,22021,32.0924,-92.1166,8.0,Caldwell,3.0,40.0,0.0,0.0,346,1541,522,205,1671.0,8211.0,114.0
11,12,12,22023,29.9188,-93.1565,5.0,Cameron,,,,,93,1323,108,198,290.0,6408.0,170.0
12,13,13,22025,31.6337,-91.9015,6.0,Catahoula,10.0,39.0,0.0,0.0,643,1182,200,308,3210.0,6564.0,119.0
13,14,14,22027,32.8229,-92.9957,7.0,Claiborne,35.0,31.0,1.0,0.0,1649,1083,191,105,8397.0,7398.0,358.0
14,15,15,22029,31.4464,-91.64,6.0,Concordia,36.0,45.0,0.0,0.0,1688,2395,240,265,8230.0,11579.0,212.0
15,16,16,22031,32.0572,-93.7354,7.0,De Soto,58.0,65.0,1.0,0.0,2664,3189,427,536,9728.0,16367.0,1121.0
16,17,17,22033,30.5385,-91.0956,2.0,East Baton Rouge,608.0,588.0,26.0,0.0,51464,35300,7363,8692,204036.0,210236.0,29822.0
17,18,18,22035,32.7328,-91.235,8.0,East Carroll,27.0,8.0,0.0,0.0,1223,491,360,90,5051.0,2105.0,69.0
18,19,19,22037,30.8452,-91.0455,2.0,East Feliciana,59.0,97.0,1.0,0.0,3192,2542,450,335,8588.0,10562.0,349.0
19,20,20,22039,30.7292,-92.4059,4.0,Evangeline,41.0,103.0,2.0,0.0,2293,3822,882,745,9253.0,22791.0,1592.0
