,OBJECTID,Lat,Long,LDH_Region,Race,Deaths,Cases
0,1,29.94,-90.078,Region 1,American Indian/Alaskan Native,3,550
1,2,30.424,-91.188,Region 2,American Indian/Alaskan Native,2,268
2,3,29.616,-90.658,Region 3,American Indian/Alaskan Native,18,1268
3,4,30.206,-92.012,Region 4,American Indian/Alaskan Native,4,279
4,5,30.216,-93.22,Region 5,American Indian/Alaskan Native,3,203
5,6,31.292,-92.429,Region 6,American Indian/Alaskan Native,5,215
6,7,32.497,-93.752,Region 7,American Indian/Alaskan Native,6,435
7,8,32.524,-92.115,Region 8,American Indian/Alaskan Native,0,114
8,9,30.517,-90.41,Region 9,American Indian/Alaskan Native,1,271
9,10,29.94,-90.078,Region 1,Asian,42,3956
10,11,30.424,-91.188,Region 2,Asian,25,1883
11,12,29.616,-90.658,Region 3,Asian,7,840
12,13,30.206,-92.012,Region 4,Asian,7,2821
13,14,30.216,-93.22,Region 5,Asian,5,1166
14,15,31.292,-92.429,Region 6,Asian,5,1321
15,16,32.497,-93.752,Region 7,Asian,9,1990
16,17,32.524,-92.115,Region 8,Asian,4,1439
17,18,30.517,-90.41,Region 9,Asian,9,1387
18,19,29.94,-90.078,Region 1,Black,1180,60445
19,20,30.424,-91.188,Region 2,Black,899,51332
20,21,29.616,-90.658,Region 3,Black,413,21142
21,22,30.206,-92.012,Region 4,Black,504,32928
22,23,30.216,-93.22,Region 5,Black,210,12234
23,24,31.292,-92.429,Region 6,Black,315,15022
24,25,32.497,-93.752,Region 7,Black,930,42560
25,26,32.524,-92.115,Region 8,Black,537,26977
26,27,30.517,-90.41,Region 9,Black,352,22064
27,28,29.94,-90.078,Region 1,Native Hawaiian/Other Pacific Islander,6,362
28,29,30.424,-91.188,Region 2,Native Hawaiian/Other Pacific Islander,2,67
29,30,29.616,-90.658,Region 3,Native Hawaiian/Other Pacific Islander,4,78
30,31,30.206,-92.012,Region 4,Native Hawaiian/Other Pacific Islander,1,129
31,32,30.216,-93.22,Region 5,Native Hawaiian/Other Pacific Islander,1,58
32,33,31.292,-92.429,Region 6,Native Hawaiian/Other Pacific Islander,1,63
33,34,32.497,-93.752,Region 7,Native Hawaiian/Other Pacific Islander,4,78
34,35,32.524,-92.115,Region 8,Native Hawaiian/Other Pacific Islander,2,60
35,36,30.517,-90.41,Region 9,Native Hawaiian/Other Pacific Islander,0,81
36,37,29.94,-90.078,Region 1,Other,19,12511
37,38,30.424,-91.188,Region 2,Other,6,6208
38,39,29.616,-90.658,Region 3,Other,1,3639
39,40,30.206,-92.012,Region 4,Other,6,7135
40,41,30.216,-93.22,Region 5,Other,3,3798
41,42,31.292,-92.429,Region 6,Other,3,3879
42,43,32.497,-93.752,Region 7,Other,4,6080
43,44,32.524,-92.115,Region 8,Other,3,9027
44,45,30.517,-90.41,Region 9,Other,2,5364
45,46,29.94,-90.078,Region 1,Unknown,0,12113
46,47,30.424,-91.188,Region 2,Unknown,0,8274
47,48,29.616,-90.658,Region 3,Unknown,0,4369
48,49,30.206,-92.012,Region 4,Unknown,0,11500
49,50,30.216,-93.22,Region 5,Unknown,0,5741
50,51,31.292,-92.429,Region 6,Unknown,0,4589
51,52,32.497,-93.752,Region 7,Unknown,0,6473
52,53,32.524,-92.115,Region 8,Unknown,0,5799
53,54,30.517,-90.41,Region 9,Unknown,0,8190
54,55,29.94,-90.078,Region 1,White,1097,65929
55,56,30.424,-91.188,Region 2,White,981,51477
56,57,29.616,-90.658,Region 3,White,904,45276
57,58,30.206,-92.012,Region 4,White,1240,55625
58,59,30.216,-93.22,Region 5,White,806,31941
59,60,31.292,-92.429,Region 6,White,817,28682
60,61,32.497,-93.752,Region 7,White,1179,45277
61,62,32.524,-92.115,Region 8,White,897,30762
62,63,30.517,-90.41,Region 9,White,1545,73300
