,FID,PFIPS,PARISH_ABV,PARISH,LDHH,STATE,Layout,Rotation,Shape__Area,Shape__Length
0,1,22031,De Soto,De Soto,7,22,Landscape,90,3204705737.79297,366474.498795475
1,2,22095,St. John,St. John the Baptist,3,22,Portrait,0,867506834.425781,190537.188546003
2,3,22057,LaFourche,Lafourche,3,22,Landscape,90,4154020746.56445,716771.230790828
3,4,22071,Orleans,Orleans,1,22,Landscape,90,736569340.369141,225877.847558055
4,5,22085,Sabine,Sabine,7,22,Portrait,0,3103864330.91797,855664.95140036
5,6,22105,Tangipahoa,Tangipahoa,9,22,Portrait,0,2798765723.92188,271760.903365589
6,7,22103,St. Tammany,St. Tammany,9,22,Landscape,90,3072942749.47852,339329.990362816
7,8,22063,Livingston,Livingston,9,22,Portrait,0,2285928775.8125,267279.516075183
8,9,22089,St. Charles,St. Charles,3,22,Portrait,0,1234719815.77344,158803.854824106
9,10,22019,Calcasieu,Calcasieu,5,22,Landscape,90,3809092088.75391,364688.280909013
10,11,22111,Union,Union,8,22,Landscape,90,3330551002.82031,272795.40679854
11,12,22021,Caldwell,Caldwell,8,22,Landscape,90,1956988187.32813,236130.538875657
12,13,22107,Tensas,Tensas,8,22,Portrait,0,2316036232.14063,321142.683262649
13,14,22049,Jackson,Jackson,8,22,Landscape,90,2109731513.35547,205943.157210104
14,15,22043,Grant,Grant,6,22,Landscape,90,2380184146.9375,324525.498434833
15,16,22061,Lincoln,Lincoln,8,22,Landscape,90,1729140935.28125,194168.16567392
16,17,22053,Jeff. Davis,Jefferson Davis,5,22,Landscape,90,2294297780.21875,305159.6498696
17,18,22055,Lafayette,Lafayette,4,22,Landscape,90,936677350.929688,181407.444286267
18,19,22035,E. Carroll,East Carroll,8,22,Portrait,0,1623906614.14453,298060.070010534
19,20,22037,E. Feliciana,East Feliciana,2,22,Landscape,90,1606577366.42578,222019.451737527
20,21,22047,Iberville,Iberville,2,22,Landscape,90,2273907256.10156,256986.302694328
21,22,22083,Richland,Richland,8,22,Portrait,0,2057641850.07422,316982.883799724
22,23,22099,St. Martin,St. Martin,4,22,Portrait,90,2836463862.32031,440023.163731012
23,24,22027,Claiborne,Claiborne,7,22,Landscape,90,2822384367.76563,246780.731930605
24,25,22097,St. Landry,St. Landry,4,22,Landscape,90,3293148103.45703,337796.50278862
25,26,22077,Pte. Coupee,Pointe Coupee,2,22,Portrait,90,2076412956.12891,287404.274152082
26,27,22059,La Salle,La Salle,6,22,Portrait,0,2375996402.87891,306467.421778935
27,28,22119,Webster,Webster,7,22,Portrait,0,2255769071.04688,283224.188246495
28,29,22093,St. James,St. James,3,22,Portrait,0,893806746.851563,144948.352975914
29,30,22067,Morehouse,Morehouse,8,22,Landscape,90,2964435053.08203,317436.677369468
30,31,22079,Rapides,Rapides,6,22,Landscape,90,4835158477.94531,425612.61025745
31,32,22009,Avoyelles,Avoyelles,6,22,Landscape,90,3066285200.9375,311094.053012556
32,33,22127,Winn,Winn,6,22,Landscape,90,3451847644.53125,308241.51474971
33,34,22025,Catahoula,Catahoula,6,22,Portrait,0,2651712884.36719,425587.508910806
34,35,22007,Assumption,Assumption,3,22,Portrait,0,1260598227.67578,177288.23332985
35,36,22017,Caddo,Caddo,7,22,Portrait,0,3426146696.46875,504086.115051209
36,37,22117,Washington,Washington,9,22,Landscape,90,2382841726.6875,268556.612006988
37,38,22033,EBR,East Baton Rouge,2,22,Portrait,0,1647140605.83203,266330.296887829
38,39,22069,Natchitoches,Natchitoches,7,22,Portrait,0,4664173296.07422,447816.002489678
39,40,22013,Bienville,Bienville,7,22,Landscape,90,2991788234.21875,288231.980733337
40,41,22015,Bossier,Bossier,7,22,Portrait,0,3180134443.51563,468290.609952583
41,42,22003,Allen,Allen,5,22,Landscape,90,2689155889.73047,250065.533762715
42,43,22073,Ouachita,Ouachita,8,22,Landscape,90,2305775281.14063,239968.11821369
43,44,22091,St. Helena,St. Helena,9,22,Portrait,0,1442723747.5,195726.664693042
44,45,22125,W. Feliciana,West Feliciana,2,22,Landscape,90,1502698773.94531,271902.373349102
45,46,22123,W. Carroll,West Carroll,8,22,Portrait,0,1325076446.36719,208073.684104288
46,47,22029,Concordia,Concordia,6,22,Portrait,0,2667468393.76953,450251.805570364
47,48,22121,WBR,West Baton Rouge,2,22,Portrait,0,712859758.359375,166532.38589151
48,49,22065,Madison,Madison,8,22,Landscape,90,2369726705.38281,365220.835117176
49,50,22005,Ascension,Ascension,2,22,Portrait,0,1053449967.5,185568.918579786
50,51,22001,Acadia,Acadia,4,22,Landscape,90,2291389672.88672,283820.161242404
51,52,22011,Beauregard,Beauregard,5,22,Landscape,90,4092911688.10547,358233.305286204
52,53,22041,Franklin,Franklin,8,22,Portrait,0,2301807399.04297,350923.465019838
53,54,22039,Evangeline,Evangeline,4,22,Portrait,90,2389901398.04297,249362.284550395
54,55,22115,Vernon,Vernon,6,22,Landscape,90,4754534563.5625,342795.982864154
55,56,22081,Red River,Red River,7,22,Landscape,90,1456177401.89453,212142.966511482
56,57,22113,Vermilion,Vermilion,4,22,Landscape,90,4495899125.41797,416261.139374543
57,58,22075,Plaquemines,Plaquemines,1,22,Landscape,90,3500527962.06836,1364688.10152198
