,FID,PARISH,FIPS,PARISH_FIP,Parish_Num,SHAPE_Leng,Shape_Le_1,Shape_Area,DHH,Shape__Area,Shape__Length
0,1,Webster,22119,119,60,227550.144964,2.21429189593,0.153376520359,7,2258978184.49609,271067.151976629
1,2,East Carroll,22035,035,18,246095.038288,2.43459473383,0.110145111845,8,1622551991.54688,293009.991853029
2,3,West Carroll,22123,123,62,171615.252314,1.68563183033,0.0898752483656,8,1324816809.44922,204501.458957237
3,4,Morehouse,22067,067,34,265603.43216,2.64323829467,0.201008782202,8,2964056678.98828,316395.741940878
4,5,Union,22111,111,56,229242.000943,2.29592158507,0.225637873584,8,3327663297.98828,273154.553415676
5,6,Lincoln,22061,061,31,159971.649021,1.59084176793,0.117469201312,8,1727944687.03906,190185.120543702
6,7,Ouachita,22073,073,37,202286.441014,1.98810610367,0.156965646448,8,2305767601.63281,240299.981542995
7,8,Richland,22083,083,42,258307.989715,2.5496074018,0.140228259193,8,2058516701.66016,306438.371287754
8,9,Bienville,22013,013,07,244654.832298,2.45031854916,0.203985835945,7,2992125195.97266,289968.467618139
9,10,Franklin,22041,041,21,288437.196973,2.82851342993,0.1571210451,8,2299282593.28516,341211.713842298
10,11,Tensas,22107,107,54,272521.465631,2.69563884474,0.159097526907,8,2324862560.48828,321744.859384992
11,12,Natchitoches,22069,069,35,364135.357192,3.56460530777,0.320511396325,7,4669461456.73828,429088.555388694
12,13,Winn,22127,127,64,242578.291642,2.42117330487,0.236566207096,6,3454720905.07031,286217.21613698
13,14,La Salle,22059,059,30,257112.543757,2.49114454013,0.163191577442,6,2376298823.57422,302651.910389899
14,15,Sabine,22085,085,43,316983.286061,3.11621883684,0.249033236986,7,3621867523.32813,372602.93558925
15,16,Grant,22043,043,22,273595.578074,2.75146572152,0.163196139126,6,2374389177.17188,321555.260061639
16,17,Rapides,22079,079,40,356847.010635,3.49553424266,0.333843065627,6,4836499022.28516,418099.579944262
17,18,Avoyelles,22009,009,05,267757.494407,2.6114128831,0.211914787636,6,3066110293.74219,313349.77401663
18,19,Washington,22117,117,59,225246.153175,2.24463865522,0.164971885929,9,2381345125.92188,262412.721180212
19,20,Tangipahoa,22105,105,53,249164.791665,2.36799464187,0.205553914974,9,2960189283.21094,290087.825482529
20,21,Evangeline,22039,039,20,210645.094244,2.03374365299,0.165746492884,4,2389435739.54297,245577.498051043
21,22,Allen,22003,003,02,215245.945257,2.09708303644,0.186713416677,5,2689582738.92188,250674.50142448
