,FID,PFIPS,PARISH_ABV,PARISH,LDHH,STATE,Layout,Rotation,ORIG_FID
0,1,22031,De Soto,De Soto,7,22,Landscape,90,0
1,2,22095,St. John,St. John the Baptist,3,22,Portrait,0,1
2,3,22057,LaFourche,Lafourche,3,22,Landscape,90,2
3,4,22071,Orleans,Orleans,1,22,Landscape,90,3
4,5,22085,Sabine,Sabine,7,22,Portrait,0,4
5,6,22105,Tangipahoa,Tangipahoa,9,22,Portrait,0,5
6,7,22103,St. Tammany,St. Tammany,9,22,Landscape,90,6
7,8,22063,Livingston,Livingston,9,22,Portrait,0,7
8,9,22089,St. Charles,St. Charles,3,22,Portrait,0,8
9,10,22019,Calcasieu,Calcasieu,5,22,Landscape,90,9
10,11,22111,Union,Union,8,22,Landscape,90,10
11,12,22021,Caldwell,Caldwell,8,22,Landscape,90,11
12,13,22107,Tensas,Tensas,8,22,Portrait,0,12
13,14,22049,Jackson,Jackson,8,22,Landscape,90,13
14,15,22043,Grant,Grant,6,22,Landscape,90,14
15,16,22061,Lincoln,Lincoln,8,22,Landscape,90,15
16,17,22053,Jeff. Davis,Jefferson Davis,5,22,Landscape,90,16
17,18,22055,Lafayette,Lafayette,4,22,Landscape,90,17
18,19,22035,E. Carroll,East Carroll,8,22,Portrait,0,18
19,20,22037,E. Feliciana,East Feliciana,2,22,Landscape,90,19
20,21,22047,Iberville,Iberville,2,22,Landscape,90,20
21,22,22083,Richland,Richland,8,22,Portrait,0,21
22,23,22099,St. Martin,St. Martin,4,22,Portrait,90,22
23,24,22027,Claiborne,Claiborne,7,22,Landscape,90,23
24,25,22097,St. Landry,St. Landry,4,22,Landscape,90,24
25,26,22077,Pte. Coupee,Pointe Coupee,2,22,Portrait,90,25
26,27,22059,La Salle,La Salle,6,22,Portrait,0,26
27,28,22119,Webster,Webster,7,22,Portrait,0,27
28,29,22093,St. James,St. James,3,22,Portrait,0,28
29,30,22067,Morehouse,Morehouse,8,22,Landscape,90,29
30,31,22079,Rapides,Rapides,6,22,Landscape,90,30
31,32,22009,Avoyelles,Avoyelles,6,22,Landscape,90,31
32,33,22127,Winn,Winn,6,22,Landscape,90,32
33,34,22025,Catahoula,Catahoula,6,22,Portrait,0,33
34,35,22007,Assumption,Assumption,3,22,Portrait,0,34
35,36,22017,Caddo,Caddo,7,22,Portrait,0,35
36,37,22117,Washington,Washington,9,22,Landscape,90,36
37,38,22033,EBR,East Baton Rouge,2,22,Portrait,0,37
38,39,22069,Natchitoches,Natchitoches,7,22,Portrait,0,38
39,40,22013,Bienville,Bienville,7,22,Landscape,90,39
40,41,22015,Bossier,Bossier,7,22,Portrait,0,40
41,42,22003,Allen,Allen,5,22,Landscape,90,41
42,43,22073,Ouachita,Ouachita,8,22,Landscape,90,42
43,44,22091,St. Helena,St. Helena,9,22,Portrait,0,43
44,45,22125,W. Feliciana,West Feliciana,2,22,Landscape,90,44
45,46,22123,W. Carroll,West Carroll,8,22,Portrait,0,45
46,47,22029,Concordia,Concordia,6,22,Portrait,0,46
47,48,22121,WBR,West Baton Rouge,2,22,Portrait,0,47
48,49,22065,Madison,Madison,8,22,Landscape,90,48
49,50,22005,Ascension,Ascension,2,22,Portrait,0,49
50,51,22001,Acadia,Acadia,4,22,Landscape,90,50
51,52,22011,Beauregard,Beauregard,5,22,Landscape,90,51
52,53,22041,Franklin,Franklin,8,22,Portrait,0,52
53,54,22039,Evangeline,Evangeline,4,22,Portrait,90,53
54,55,22115,Vernon,Vernon,6,22,Landscape,90,54
55,56,22081,Red River,Red River,7,22,Landscape,90,55
56,57,22113,Vermilion,Vermilion,4,22,Landscape,90,56
57,58,22075,Plaquemines,Plaquemines,1,22,Landscape,90,57
58,59,22101,St. Mary,St. Mary,3,22,Landscape,90,58
59,60,22023,Cameron,Cameron,5,22,Landscape,90,59
60,61,22045,Iberia,Iberia,4,22,Landscape,90,60
61,62,22087,St. Bernard,St. Bernard,1,22,Landscape,90,61
62,63,22109,Terrebonne,Terrebonne,3,22,Landscape,90,62
63,64,22051,Jefferson,Jefferson,1,22,Portrait,0,63
