,FID,DISTRICT_I,NAME,IDEAL_POP,Shape__Area,Shape__Length
0,1,83,District 83,43174,198247655.927734,74137.8450861402
1,2,84,District 84,43174,778121977.828125,371184.174827022
2,3,78,District 78,43174,32522671.359375,39214.3597315673
3,4,80,District 80,43174,22030472.15625,26104.4249270363
4,5,46,District 46,43174,2208850141.00781,455135.498006466
5,6,47,District 47,43174,8256357698.73828,688313.991646367
6,7,49,District 49,43174,4058162351.42188,755077.813875688
7,8,81,District 81,43174,1610169496.15234,352217.907982108
8,9,43,District 43,43174,106081178.621094,59225.9049425405
9,10,50,District 50,43174,3014761349.67969,381750.333330581
10,11,52,District 52,43174,379357703.796875,187696.08343746
11,12,53,District 53,43174,1224725031.19727,653660.563279817
12,13,54,District 54,43174,2880701138.13086,710896.217834569
13,14,56,District 56,43174,1158527202.96094,321901.519917238
14,15,59,District 59,43174,163182209.691406,68897.4158000225
15,16,60,District 60,43174,2591884105.57422,397685.010913869
16,17,62,District 62,43174,2525425657.00781,291280.668731064
17,18,63,District 63,43174,287464109.085938,102860.102119009
18,19,65,District 65,43174,185133155.503906,99003.4842430717
19,20,67,District 67,43174,82575525.5625,59182.8884266571
20,21,69,District 69,43174,52309891.0742188,53185.842617597
21,22,70,District 70,43174,74353766.0742188,52513.295444492
22,23,73,District 73,43174,756674962.316406,156978.626121303
23,24,74,District 74,43174,2477715166.76953,454448.05122953
24,25,2,District 2,43174,71492861.1757813,64907.5629010385
25,26,6,District 6,43174,65673655.2070313,51024.1704438899
26,27,7,District 7,43174,3352720079.69922,834092.128943815
27,28,9,District 9,43174,891424786.066406,197095.660587378
28,29,10,District 10,43174,2621792837.45703,403992.503506987
29,30,11,District 11,43174,3751816612.26953,405375.560630349
30,31,12,District 12,43174,4462737499.06641,331028.079393294
31,32,13,District 13,43174,8252387731.23047,584061.340988594
32,33,15,District 15,43174,974979761.289063,198843.780605597
33,34,16,District 16,43174,487843689.363281,193572.878258235
34,35,17,District 17,43174,311914115.269531,107924.821898686
35,36,18,District 18,43174,3595476374.77734,479207.029105021
36,37,20,District 20,43174,7391121593.96094,866125.009613029
37,38,92,District 92,43174,108136504.482422,58537.6302720906
38,39,66,District 66,43174,160727178.726563,117395.440054859
39,40,44,District 44,43174,85794233.4648438,66371.6866862193
40,41,48,District 48,43174,392925914.003906,204388.261505032
41,42,79,District 79,43174,26393858.3769531,29446.6233674364
42,43,45,District 45,43174,63502023.5976563,53521.3910908031
43,44,58,District 58,43174,1235127122.57422,311690.401864569
44,45,61,District 61,43174,42704224.9257813,39841.2053665595
45,46,64,District 64,43174,581355837.097656,179551.849535176
46,47,68,District 68,43174,64195647.0429688,55467.8276053852
47,48,71,District 71,43174,200292626.695313,124721.875219984
48,49,75,District 75,43174,1834314250.41016,276876.042480304
49,50,88,District 88,43174,245235058.632813,95679.0416648689
50,51,89,District 89,43174,124976426.058594,67395.540787452
51,52,90,District 90,43174,162852161.871094,81474.0651693242
52,53,101,District 101,43174,58574140.28125,47584.3563451167
53,54,104,District 104,43174,564013348.535156,137959.129622465
54,55,105,District 105,43174,1548369104.39648,805875.288457073
55,56,94,District 94,43174,40481860.7285156,45010.4139149313
56,57,21,District 21,43174,6542172320.08203,1278260.36230615
57,58,22,District 22,43174,7332123493.82422,870071.149513555
58,59,24,District 24,43174,8151364236.00781,1383834.99725205
59,60,25,District 25,43174,3335166279.97656,365279.352892245
60,61,27,District 27,43174,1388256164.27344,309489.926525215
61,62,28,District 28,43174,3066285198.14453,311092.437062853
62,63,29,District 29,43174,161317864.929688,96726.5507948316
63,64,102,District 102,43174,64333703.1992188,49692.6224801353
64,65,33,District 33,43174,1588538723.51563,283369.713206823
65,66,41,District 41,43174,1856174741.13281,295052.999542159
66,67,37,District 37,43174,2955742037.17578,292209.053901167
67,68,38,District 38,43174,3832128477.22266,512396.144899989
68,69,40,District 40,43174,866357090.394531,258718.466628429
69,70,57,District 57,43174,707861898.642578,242750.301458563
70,71,85,District 85,43174,30635704.7890625,27389.1492999699
71,72,86,District 86,43174,903245351.71875,252528.063810399
72,73,5,District 5,43174,169430503.351563,127448.039653681
73,74,82,District 82,43174,48611371.7617188,39652.0916483001
74,75,36,District 36,43174,273650791.453125,81970.0252034172
75,76,4,District 4,43174,264148592.398438,118377.675898736
76,77,8,District 8,43174,274990607.164063,108654.836892124
77,78,14,District 14,43174,1784377542.52734,353696.297365136
78,79,19,District 19,43174,7039536761.0625,756724.071432216
79,80,23,District 23,43174,2769379585.04688,632991.466902662
80,81,26,District 26,43174,111736237.605469,69483.0216884554
81,82,93,District 93,43174,23129538.7324219,31770.0941821571
82,83,3,District 3,43174,75680244.484375,56204.2998758279
83,84,34,District 34,43174,171915806.757813,92135.2943073054
84,85,72,District 72,43174,2281645289.82031,362505.101889507
85,86,77,District 77,43174,483521937.148438,155810.46147504
86,87,99,District 99,43174,83859489.6660156,57164.080277671
87,88,91,District 91,43174,21255639.5566406,38665.1861802186
88,89,95,District 95,43174,903218979.785156,221504.102241523
89,90,1,District 1,43174,3876203514.32422,440143.070151725
90,91,87,District 87,43174,64336475.0,72696.1156776855
91,92,30,District 30,43174,1091364114.07422,355776.320910993
92,93,31,District 31,43174,328929130.378906,132958.19396389
93,94,32,District 32,43174,5483885273.68359,604891.144174389
94,95,35,District 35,43174,1694103324.49609,290682.448670359
95,96,39,District 39,43174,427610504.886719,191719.950908415
96,97,42,District 42,43174,1027244577.54297,274493.217629175
97,98,51,District 51,43174,3998220541.78516,1074827.45402134
98,99,55,District 55,43174,929212258.953125,182341.287056312
99,100,96,District 96,43174,360248556.804688,237770.024930782
