,FID,GEOID,Shape__Area,Shape__Length
0,1,22065960500,4996818.015625,9328.39886101084
1,2,22071007606,3036432.6875,10442.2123253877
2,3,22121020300,472509293.828125,128639.820726825
3,4,22121020100,7235481.98046875,12114.5105464602
4,5,22121020200,56421911.515625,40009.3102686018
5,6,22041950300,33577141.5390625,34682.3730119892
6,7,22041950600,167853892.03125,67970.098553747
7,8,22041950500,433589400.683594,157000.723389097
8,9,22041950400,715323508.523438,170372.595621215
9,10,22041950100,634489260.296875,171333.24296586
10,11,22041950200,316974195.96875,146612.183757177
11,12,22057020702,155718165.951172,59962.2709502026
12,13,22057021400,67681232.21875,40436.3338872128
13,14,22057021200,987766009.216797,172693.920902256
14,15,22057021602,291721470.751953,85585.7246245773
15,16,22057021000,775484276.779297,143621.368818154
16,17,22047953000,296700790.433594,97055.5303984717
17,18,22047953101,12094056.1015625,14712.4733341068
18,19,22047952900,646389332.199219,160901.175586101
19,20,22047953102,47525026.8554688,39145.7019378147
20,21,22047952600,312011177.90625,91891.4551366261
21,22,22047952700,753902726.757813,149174.762221301
22,23,22057021800,13599577.7421875,15391.1662698128
23,24,22057020800,287754989.054688,85758.6265131913
24,25,22057021700,14520528.5683594,19165.890771021
25,26,22057020202,14435456.0429688,18105.8292568753
26,27,22057020900,37537278.5683594,45818.1638871889
27,28,22057021100,1551820947.25,226206.670471883
28,29,22057021300,16664262.25,23878.8250123758
29,30,22057021601,175299178.210938,57091.2439001263
30,31,22057020100,2267418.9296875,6513.32666080201
31,32,22057020400,2273463.80273438,6532.20607680854
32,33,22033001103,3169224.3125,7536.86067095421
33,34,22033001104,3487756.07421875,8070.1593632644
34,35,22019002700,266069761.726563,105412.825877976
35,36,22019003600,706158410.132813,170259.56733731
36,37,22019001100,3929068.66796875,8308.07499903254
37,38,22019000700,6912467.0546875,14468.0378346458
38,39,22019000600,6854749.30078125,10868.8183699963
39,40,22019002300,338704396.109375,119141.319201368
40,41,22019000500,11256326.9335938,20232.6494650014
41,42,22019002000,649944997.824219,160689.135083185
42,43,22019000300,4175455.78125,11595.4631248977
43,44,22019003200,281773504.015625,123179.160668775
44,45,22019000200,11618041.1171875,17940.010285726
45,46,22019003400,479614494.464844,119206.975234284
46,47,22019002201,237380114.480469,101030.301688843
47,48,22019000800,3833679.18359375,7892.30624029342
48,49,22019002900,4166029.6640625,8865.15651223868
49,50,22019002204,37693912.046875,41687.3041833514
50,51,22019000100,3080063.3203125,8383.21527117933
51,52,22019000900,4076929.046875,9160.34812108484
52,53,22019001000,5079624.93359375,9504.43737889355
53,54,22019001201,5031529.86328125,9182.04413417278
54,55,22019001202,2691447.44921875,7472.36868391548
55,56,22019001300,11425865.84375,15474.4460623111
56,57,22019001500,5281919.65625,10140.1803086064
57,58,22019001700,165052527.488281,57009.6224054498
58,59,22033003507,9651298.41796875,13659.9536045857
59,60,22033003603,2785154.44921875,6802.548253993
60,61,22033001700,4884781.78125,11054.0250898529
61,62,22033003501,18157595.1757813,28445.9053305718
62,63,22033004009,30622932.796875,28527.6286992525
63,64,22033004603,187849339.765625,58257.9934870409
64,65,22033004700,286757851.804688,92885.1449370449
65,66,22033002601,5305581.69921875,12627.0113510055
66,67,22033004401,31998651.9492188,24278.3178261941
67,68,22033003801,15000332.6914063,15889.5922998849
68,69,22033003906,8434331.63671875,12364.0066196926
69,70,22033003202,23754262.1132813,29382.1141910304
70,71,22033004508,11218630.6757813,15820.3520585551
71,72,22033004203,33507917.8789063,25531.9360629375
72,73,22033004503,15185576.7578125,20682.1357828769
73,74,22033004301,82618714.453125,42941.399407911
74,75,22033004302,43025967.4257813,30974.7919762452
75,76,22033004403,37562153.5703125,31606.9432075745
76,77,22033004507,5655328.8984375,10681.9711281196
77,78,22033003000,60977380.0273438,46169.4684016781
78,79,22033003908,7805237.375,12446.4091013452
79,80,22033001900,4047154.7890625,10276.4742818237
80,81,22019001901,14621349.2109375,17190.6570232866
81,82,22019002100,15669898.65625,15911.6456461142
82,83,22019002203,17789602.5742188,19455.9349719061
83,84,22055002104,75646176.296875,47652.7108969408
84,85,22055001402,44747823.1445313,29606.398133171
85,86,22055000800,2237225.82421875,6128.8959985812
86,87,22031950700,859274688.082031,254445.374256727
87,88,22031950300,936055976.453125,236817.697043918
88,89,22031950400,101205228.976563,65506.2609707301
89,90,22031950500,160428188.324219,95435.5413603073
90,91,22031950200,572649393.921875,130604.401674745
91,92,22031950100,540429293.113281,146784.361876162
92,93,22031950600,64985656.6132813,45585.3256709726
93,94,22005030203,36875572.9023438,35157.1115810519
94,95,22005030101,41274622.65625,33685.0744802596
95,96,22005030102,21422531.3164063,18905.3155060244
96,97,22005030103,55249247.7265625,38548.5274217361
97,98,22005030204,24619013.5742188,22766.2928887599
98,99,22005030600,92097204.7890625,48280.0647349409
99,100,22005030300,249471869.667969,116708.030458966
100,101,22005030500,249204517.949219,99901.735150272
101,102,22005030206,28261721.0078125,23798.3050481179
102,103,22071003304,1180300.63867188,4364.7211007766
103,104,22071003307,895448.474609375,4627.95522550543
104,105,22071003308,2395606.73242188,6620.76577335481
105,106,22071003400,498914.208984375,3202.99870467002
106,107,22071010300,802488.9140625,3743.83781672127
107,108,22071010700,597939.662109375,3147.39289205359
108,109,22071010900,1070619.44726563,4084.68223437837
109,110,22071011100,678370.921875,3421.63429004171
110,111,22071011200,528177.896484375,2972.62983368528
111,112,22071011500,610050.69921875,3674.53894683326
112,113,22071010000,559244.33203125,3148.29979997523
113,114,22071010100,657614.65625,3345.42775490495
114,115,22071010200,608321.814453125,3281.59403624885
115,116,22071011600,484676.791015625,2935.12094695765
116,117,22071011700,1401062.31835938,5067.04479130746
117,118,22073010800,8079295.875,15360.722780625
118,119,22073011000,29996794.8984375,34449.0185865361
119,120,22071011900,617523.099609375,3365.9782587561
120,121,22071012000,2842983.86523438,7920.70914754049
121,122,22071012101,794701.533203125,3808.03739431025
122,123,22071012102,1029618.43164063,4084.15204030625
123,124,22005030401,20596115.9882813,23403.8573309034
124,125,22055001802,3077325.765625,8862.13056326709
125,126,22005030900,140919474.800781,64523.7019964065
126,127,22005031000,54655024.5039063,37674.6266210461
127,128,22005030402,16965654.328125,20257.6857865591
128,129,22071003500,405479.984375,2703.33197566704
129,130,22071003701,1279215.59570313,5483.93008920542
130,131,22071003702,1742582.71484375,6072.47835187636
131,132,22071003800,675567.388671875,3998.19007710454
132,133,22071003900,785147.634765625,3670.39343413002
133,134,22071004000,667842.326171875,3742.26494072051
134,135,22071004100,644975.306640625,4092.81242425742
135,136,22071004500,784527.3359375,3621.37143760951
136,137,22071001737,2216474.53710938,5957.1877501547
137,138,22071000701,1540431.20703125,5867.58147839861
138,139,22071006400,741248.927734375,3612.05129621661
139,140,22071001301,778835.40234375,3863.95493911939
140,141,22071010600,431141.8046875,2740.22695680438
141,142,22071004900,1290682.140625,4586.91629698525
142,143,22071005400,1146620.58007813,6254.83622639544
143,144,22071005500,2277643.20898438,6208.07717790523
144,145,22071005601,1684705.04882813,5508.98038898239
145,146,22071012200,867017.958984375,4754.3331504776
146,147,22071012300,626489.537109375,3442.5467257564
147,148,22071012400,576331.044921875,3062.73244009009
148,149,22071012500,1725827.91796875,6537.11546882892
149,150,22071012600,610233.763671875,3133.62494611624
150,151,22071012800,773942.8515625,4078.06796202482
151,152,22071012900,1320576.328125,5197.56236420562
152,153,22071013100,475415.044921875,2885.39055502771
153,154,22071013200,1305575.8984375,5963.64410849943
154,155,22071013301,5813944.29882813,10839.6210619339
155,156,22055001406,9495917.640625,15858.5265847804
156,157,22055001901,150593742.550781,61346.796216772
157,158,22055001600,3267877.05859375,9348.95153096344
158,159,22055002001,59180090.171875,44528.0780465002
159,160,22055000900,1389723.6015625,5078.15846657419
160,161,22055001410,83606265.8710938,42143.4704164443
161,162,22055001409,39190155.5742188,33573.9731488851
162,163,22055002102,31153889.515625,26067.9618612833
163,164,22055002002,33363509.5820313,27377.3541161965
164,165,22053000300,292679924.820313,80556.9479294532
165,166,22053000200,818839695.878906,236710.7007928
166,167,22053000100,696612693.214844,159674.92701511
167,168,22053000400,433201228.9375,143683.533537964
168,169,22053000700,23519855.2070313,29086.3541633699
169,170,22005030205,21838727.9882813,20743.6506569427
170,171,22053000500,17050474.1992188,21479.7419384359
171,172,22105954501,22665925.4101563,23281.4132695128
172,173,22101040200,15479698.8828125,20567.661103086
173,174,22119031200,139243614.488281,90656.535343573
174,175,22119032100,500596023.242188,133638.049889578
175,176,22119031700,14822185.8359375,23234.2207665712
176,177,22119031600,271402476.875,101793.24229682
177,178,22119031100,481786290.457031,124647.398357618
178,179,22119032000,24705072.5976563,29268.3643799472
179,180,22119031500,512732066.277344,139333.347696377
180,181,22119031400,273667160.628906,123477.112886895
181,182,22119031300,25836977.375,22826.3703686982
182,183,22119031800,6511258.828125,11526.0476254584
183,184,22119031900,4465946.359375,11041.6898055043
184,185,22115950400,19556809.5351563,28711.6512650649
185,186,22115950600,141437141.6875,109238.34370093
186,187,22115950200,617082841.808594,141264.016663635
187,188,22115950500,38433789.6523438,35077.3419350885
188,189,22115950900,295019777.101563,130790.582230507
189,190,22115950800,988294906.152344,192146.614838297
190,191,22115950100,1138697793.78125,178411.602848214
191,192,22115950300,930231779.832031,226930.233045426
192,193,22113990000,397426348.9375,149109.905468135
193,194,22113950901,55968396.4570313,36463.2334833895
194,195,22115950704,5721805.3828125,10600.1461449201
195,196,22115950703,24625279.4453125,24213.1433353092
196,197,22001961000,19847028.1210938,23686.7749814772
197,198,22001960800,42806384.4257813,33893.6998468568
198,199,22001960700,27911302.6210938,36916.652376227
199,200,22001960200,474422736.367188,116144.643633063
200,201,22001960300,316122521.183594,151953.795054184
201,202,22001960400,447338881.101563,118458.831888271
202,203,22001960600,46189007.1484375,35657.2379978302
203,204,22001960100,63727424.9179688,35733.9503218914
204,205,22001961200,288900444.136719,107873.670656885
205,206,22001961100,285456743.035156,106289.806763224
206,207,22001960900,19523958.9453125,25472.1980076192
207,208,22001960500,259143239.277344,90760.2094905571
208,209,22113951002,258373839.722656,84221.1515137866
209,210,22113950902,137755635.144531,59724.9786995978
210,211,22113951001,42737563.2617188,36147.1195188423
211,212,22051990100,247342568.570313,77633.3764962916
212,213,22115950701,551885662.226563,113665.921513392
213,214,22115950702,3546981.3984375,7718.21533382802
214,215,22017024800,366373695.566406,151391.134575851
215,216,22017024400,38094702.6523438,36433.8397693797
216,217,22017025100,429451114.671875,127033.781114924
217,218,22017021900,1865533.73828125,7175.32812980795
218,219,22017024503,39344018.2695313,35184.7454284377
219,220,22017023500,3933532.48828125,10547.8512837998
220,221,22017023600,3643379.4453125,13280.3214471843
221,222,22017023700,7450339.19140625,12645.898204127
222,223,22017023800,6485916.47265625,11767.9086331881
223,224,22017023903,25896096.9179688,24939.8097301858
224,225,22069000900,1416084766.19922,231867.770727899
225,226,22069000600,64804925.65625,43047.5519923266
226,227,22069000200,330008593.503906,95433.8851068608
227,228,22069000800,993347847.835938,174811.231680971
228,229,22069000300,807869413.050781,153503.692390633
229,230,22069000400,40144519.4179688,37507.0943694929
230,231,22069000100,997131773.953125,231261.416791121
231,232,22017020600,2154425.0546875,7884.367547178
232,233,22017024304,132877945.9375,49137.9330967204
233,234,22017024104,11595270.0976563,15077.9155673315
234,235,22017024106,17641624.5078125,18965.8893535149
235,236,22017024107,12712192.8164063,15485.6899195185
236,237,22017023901,17607304.2695313,30149.5753343369
237,238,22017024000,313217358.765625,167066.856193828
238,239,22017024202,134529679.007813,54300.4358719982
239,240,22017024102,49073398.1484375,39029.1630723185
240,241,22017024900,436095160.367188,160839.578540268
241,242,22017025000,38935224.0351563,39635.52770268
242,243,22017024504,328531045.980469,90510.5884757249
243,244,22017021100,1840587.26953125,5746.1768525428
244,245,22017024203,388254140.355469,101291.217456696
245,246,22017020500,6991188.73046875,18888.9442503738
246,247,22017024301,173902132.148438,59983.5676629554
247,248,22017022000,2637516.625,7801.00525978654
248,249,22017020700,2043292.57421875,6156.12295570358
249,250,22017021000,2655046.09765625,7090.25175215669
250,251,22017021200,2642524.25,6774.67525069086
251,252,22017021300,5325282.97265625,13124.8046114418
252,253,22017021400,2162940.48046875,7676.77639992515
253,254,22017021500,3042862.0546875,7133.82567750347
254,255,22017021600,3271114.6171875,7721.79005081516
255,256,22017021700,4037432.625,8696.53851454202
256,257,22017021800,3995125.015625,8932.48899037854
257,258,22017022100,5482930.66796875,14683.8634345
258,259,22017022200,11620103.0507813,17377.9819217163
259,260,22017024108,9125604.14453125,15032.0291432742
260,261,22017024109,6446662.1875,12209.2569175705
261,262,22017024201,21502286.9375,21331.1374565244
262,263,22033000900,2919788.15234375,7141.98942106498
263,264,22033001000,2656797.88671875,7060.06503578441
264,265,22033001102,3808476.36328125,8913.37416133753
265,266,22071000702,2512687.64648438,8790.13305357613
266,267,22071000901,1266636.43554688,5509.88296725415
267,268,22071000902,1138316.43554688,4409.50579782825
268,269,22071000903,939527.22265625,4023.12910701444
269,270,22051021803,1117636.98242188,4914.141700376
270,271,22021000200,858647079.25,179192.727144571
271,272,22021000300,447916343.179688,130155.981990672
272,273,22021000100,650424764.898438,215295.398938998
273,274,22109001000,66457882.0410156,57609.6600509605
274,275,22109000102,22949071.0605469,22033.8695252922
275,276,22109001201,71439049.4667969,45267.7346788258
276,277,22109001400,1876507518.41992,256721.563637211
277,278,22109000101,60179594.5136719,43253.5044176876
278,279,22109001300,845005461.669922,215847.935780615
279,280,22109001500,879524668.175781,181646.389890579
280,281,22109001700,145955394.447266,74779.2982794245
281,282,22109001600,377744607.728516,103603.798923035
282,283,22109001100,724029248.326172,119729.141330295
283,284,22109001202,1174233112.80859,245378.668810692
284,285,22051027701,25749528.0019531,27435.5952828242
285,286,22109000201,29969746.4199219,23408.5290052883
286,287,22109000202,25396569.9433594,23462.8245967987
287,288,22109000300,6852969.99804688,16435.5189334328
288,289,22017980000,9824667.3671875,12738.3895758055
289,290,22017025200,2405082.31640625,8232.85722681111
290,291,22079012700,29757655.5859375,27090.0039664928
291,292,22079012600,5369462.40234375,11107.4159874469
292,293,22079013200,348859018.988281,98384.2967218068
293,294,22079011700,14567389.84375,20345.1754433421
294,295,22079012200,4026240.7109375,11676.6370514045
295,296,22079011300,24258413.2734375,23323.2278042415
296,297,22079013100,16533638.78125,18539.8154305812
297,298,22079013600,513088074.683594,139621.246834314
298,299,22079010400,112779601.355469,58910.3714628382
299,300,22079012500,21019464.1367188,24517.1847284559
300,301,22079013300,600625239.945313,124140.180598144
301,302,22079013400,492008400.316406,108274.405256707
302,303,22079013000,25043754.9648438,31599.1653606962
303,304,22079010700,267225029.226563,79302.1876333638
304,305,22079010600,785817437.171875,193135.297608382
305,306,22079013500,736012349.722656,156925.274154369
306,307,22079011500,23060908.4960938,23624.9699781986
307,308,22079010100,345600635.496094,143942.264080958
308,309,22079012800,4579421.21484375,12566.0646577386
309,310,22079010500,182566714.226563,98170.798625237
310,311,22079012100,2915926.37890625,9541.20427331945
311,312,22121020402,113900550.21875,48637.7330277827
312,313,22121020401,62792520.8164063,57740.5107890984
313,314,22017023904,4369998.98828125,9903.83264324739
314,315,22017025406,133865245.875,57276.6070499396
315,316,22017023905,4867564.5703125,11026.4593276121
316,317,22017025405,33422589.7539063,25754.7000552382
317,318,22071001748,2703884.93945313,8890.39893316373
318,319,22109000500,24734140.3847656,25339.2116371395
319,320,22109000600,27383138.4414063,32331.8636624668
320,321,22109000700,11875872.9257813,20978.9313435344
321,322,22109000800,8385103.86523438,16071.3567241704
322,323,22071001747,10056393.6054688,13551.7511982748
323,324,22071001750,2147878.13867188,7303.05601251466
324,325,22109000900,7750720.68945313,17208.4109342266
325,326,22083970100,32124901.7148438,33816.0696053422
326,327,22083970600,674668172.199219,204877.30422676
327,328,22083970300,449229578.574219,165101.722984762
328,329,22083970500,79087855.9335938,55465.5699441743
329,330,22083970400,508504820.242188,219213.549074829
330,331,22083970200,314061896.722656,103804.35268278
331,332,22009030800,218691204.914063,67350.2674780385
332,333,22051024201,5077256.67382813,15369.2214560089
333,334,22033980000,4246358.55859375,9984.33730941066
334,335,22051028200,26005372.0683594,25182.0526010546
335,336,22009030900,298902533.636719,82793.168506295
336,337,22009030400,70871583.3632813,45025.5672471738
337,338,22009030100,1046478754.92188,164713.019861189
338,339,22009030500,189771495.609375,76374.3325973096
339,340,22009030300,194466204.257813,82147.9601502484
340,341,22009030700,308484407.902344,117120.755500907
341,342,22009030200,438080612.933594,139865.985836313
342,343,22009030600,300538405.242188,111430.861481953
343,344,22033003103,4618925.8671875,16789.768261897
344,345,22033003909,4816537.1640625,9586.62098677464
345,346,22051020516,1595905.875,6639.42043886522
346,347,22011960600,1218843599.66406,243518.370881188
347,348,22011960400,33327218.8125,23995.3787464259
348,349,22011960700,1255971287.97656,207491.384950875
349,350,22011960100,1061359806.32031,169307.505812278
350,351,22011960300,28468239.359375,25501.4031012518
351,352,22011960200,442636936.765625,158543.908245772
352,353,22011960500,52304494.6132813,39340.1503915717
353,354,22043020401,595287866.164063,193011.783146537
354,355,22043020300,232627943.507813,95794.5569196493
355,356,22043020402,163347108.242188,69665.2261086808
356,357,22043020200,505082391.074219,115137.546775927
357,358,22043020100,883838835.359375,215027.431068414
358,359,22047953200,205284145.847656,81844.642941783
359,360,22055001411,40758530.4804688,52849.3475824199
360,361,22079011600,6564387.1015625,11570.0640897709
361,362,22045031600,1440882757.16406,264098.489123765
362,363,22045030301,60841188.3476563,38019.9813989738
363,364,22045030302,179767105.742188,75254.292755928
364,365,22045990000,578243851.525391,160834.69915829
365,366,22051024202,10312368.0332031,14107.0060294784
366,367,22033004900,6552730.0078125,11267.9374729453
367,368,22033004201,18373946.7617188,17970.1100740402
368,369,22037951502,340491837.464844,111142.851462949
369,370,22037951501,77850220.8671875,60577.0508199493
370,371,22107000200,1391209688.53906,199601.9856316
371,372,22107000100,581218900.425781,167921.41513598
372,373,22107000300,343607643.175781,160739.221707143
373,374,22033000500,3136702.62890625,7472.25773123857
374,375,22033000601,2028204.03125,6071.32145562862
375,376,22069000700,4830658.83984375,10889.0874662419
376,377,22033000602,3052509.70703125,7709.51344094334
377,378,22033000701,2860654.05859375,7370.87868905689
378,379,22033000702,3460664.7109375,8808.43125879107
379,380,22055002101,26019380.0429688,27981.7316296191
380,381,22125951702,243076670.707031,107205.111943845
381,382,22125951800,388150928.863281,109159.711030498
382,383,22125951701,871471163.238281,192484.055992181
383,384,22101041200,6008377.8828125,13066.7345317552
384,385,22019001600,23034753.7382813,35814.7924633486
