,OBJECTID,GEOID,PFIPS,Parish,LDHH,CaseCount,CaseRange,DataDate,Shape__Area,Shape__Length
0,1,22065960500,22065,Madison,8,719,> 100,December 20,0.000340468942795269,0.0769550792017264
1,2,22071007606,22071,Orleans,1,761,> 100,December 20,0.000212169201404322,0.0840418573129203
2,3,22121020300,22121,West Baton Rouge,2,1028,> 100,December 20,0.0328559287636381,1.07132112313818
3,4,22121020100,22121,West Baton Rouge,2,626,> 100,December 20,0.000503337210147947,0.101287073495698
4,5,22121020200,22121,West Baton Rouge,2,488,> 100,December 20,0.00392371742282194,0.333187496571607
5,6,22041950300,22041,Franklin,8,1188,> 100,December 20,0.00229354537191284,0.28888463137278
6,7,22041950600,22041,Franklin,8,340,> 100,December 20,0.0114935524100019,0.560773168523301
7,8,22041950500,22041,Franklin,8,299,> 100,December 20,0.0296608655598902,1.28511797453247
8,9,22041950400,22041,Franklin,8,473,> 100,December 20,0.0489162578348896,1.40073753712315
9,10,22041950100,22041,Franklin,8,675,> 100,December 20,0.0432739848115489,1.44075993880842
10,11,22041950200,22041,Franklin,8,1088,> 100,December 20,0.0216558340193842,1.2076025805297
11,12,22057020702,22057,Lafourche,3,578,> 100,December 20,0.010908255802633,0.511230931202459
12,13,22057021400,22057,Lafourche,3,903,> 100,December 20,0.0047527543410979,0.335668189040509
13,14,22057021200,22057,Lafourche,3,940,> 100,December 20,0.0695418380812498,1.42277463751862
14,15,22057021602,22057,Lafourche,3,625,> 100,December 20,0.0204805195107838,0.713895895605911
15,16,22057021000,22057,Lafourche,3,521,> 100,December 20,0.054341800544762,1.21204204996857
16,17,22047953000,22047,Iberville,2,369,> 100,December 20,0.0207128407330401,0.815024428444387
17,18,22047953101,22047,Iberville,2,1109,> 100,December 20,0.000842895748746741,0.122024161355248
18,19,22047952900,22047,Iberville,2,972,> 100,December 20,0.045095381149622,1.35936816165386
19,20,22047953102,22047,Iberville,2,417,> 100,December 20,0.00331247279109448,0.332852089050074
20,21,22047952600,22047,Iberville,2,280,> 100,December 20,0.0217068814231425,0.791900520579099
21,22,22047952700,22047,Iberville,2,1000,> 100,December 20,0.0525194237688993,1.28388098776955
22,23,22057021800,22057,Lafourche,3,962,> 100,December 20,0.000953157413960071,0.1301119216669
23,24,22057020800,22057,Lafourche,3,748,> 100,December 20,0.0201435715239313,0.724002119674631
24,25,22057021700,22057,Lafourche,3,714,> 100,December 20,0.00101849867496639,0.162330734093436
