,OBJECTID,FeatureID,Latitude,Longitude,Geography,Measure,Group_,Group_Num,ValueType,Timeframe,Value,Population
0,1,27,1.1,1.1,State,Gender - Series Initiated,Female,1.0,percentage,current,53.9447441101074,2279968.0
1,2,28,1.1,1.1,State,Gender - Series Initiated,Male,2.0,percentage,current,45.7595977783203,2383648.0
2,3,29,1.1,1.1,State,Gender - Series Initiated,Unknown,3.0,percentage,current,0.295656561851502,
3,4,1,1.1,1.1,State,Total Series Initiated,N/A,1.0,count,current,2388423.0,
4,5,2,1.1,1.1,State,Total Series Completed,N/A,2.0,count,current,2114616.0,
5,6,3,1.1,1.1,State,Total Doses Administered,N/A,3.0,count,current,4348962.0,
6,7,4,1.1,1.1,State,Doses Since Last Update,N/A,4.0,count,current,20175.0,
7,8,5,1.1,1.1,State,Providers Enrolled,N/A,5.0,count,current,2531.0,
8,9,6,,,,,,,,,,
9,10,7,29.656247,-89.511787,Region,Region - Series Initiated,LDH Region 1,1.0,count,current,563743.0,894015.0
10,11,8,30.568097,-91.278935,Region,Region - Series Initiated,LDH Region 2,2.0,count,current,367220.0,681120.0
11,12,9,29.586006,-90.805623,Region,Region - Series Initiated,LDH Region 3,3.0,count,current,192113.0,402776.0
12,13,10,30.149594,-92.080517,Region,Region - Series Initiated,LDH Region 4,4.0,count,current,279118.0,606054.0
13,14,11,30.249692,-93.164307,Region,Region - Series Initiated,LDH Region 5,5.0,count,current,116818.0,300947.0
14,15,12,31.419511,-92.410308,Region,Region - Series Initiated,LDH Region 6,6.0,count,current,128843.0,305140.0
15,16,13,32.238626,-93.404993,Region,Region - Series Initiated,LDH Region 7,7.0,count,current,233365.0,542829.0
16,17,14,32.471449,-91.888149,Region,Region - Series Initiated,LDH Region 8,8.0,count,current,148908.0,353159.0
17,18,15,30.591399,-90.300042,Region,Region - Series Initiated,LDH Region 9,9.0,count,current,280356.0,577576.0
18,19,16,,,,,,,,,,
19,20,17,1.1,1.1,State,Age - Series Initiated,Age 0-4 Years,1.0,percentage,current,0.0,309339.0
