,FeatureID,Latitude,Longitude,Geography,Measure,Group_,Group_Num,ValueType,Timeframe,Value,Population,FID
0,1,0.0,0.0,State,Total Series Initiated,N/A,1,count,current,1702374.0,,1
1,2,0.0,0.0,State,Total Series Completed,N/A,2,count,current,1531931.0,,2
2,3,0.0,0.0,State,Total Doses Administered,N/A,3,count,current,3119712.0,,3
3,4,0.0,0.0,State,Doses Since Last Update,N/A,4,count,current,24259.0,,4
4,5,0.0,0.0,State,Providers Enrolled,N/A,5,count,current,2369.0,,5
5,7,29.65625,-89.5118,Region,Region - Series Initiated,LDH Region 1,1,count,current,419154.0,894015.0,6
6,8,30.5681,-91.2789,Region,Region - Series Initiated,LDH Region 2,2,count,current,270431.0,681120.0,7
7,9,29.58601,-90.8056,Region,Region - Series Initiated,LDH Region 3,3,count,current,132776.0,402776.0,8
8,10,30.14959,-92.0805,Region,Region - Series Initiated,LDH Region 4,4,count,current,189549.0,606054.0,9
9,11,30.24969,-93.1643,Region,Region - Series Initiated,LDH Region 5,5,count,current,80427.0,300947.0,10
10,12,31.41951,-92.4103,Region,Region - Series Initiated,LDH Region 6,6,count,current,85006.0,305140.0,11
11,13,32.23863,-93.405,Region,Region - Series Initiated,LDH Region 7,7,count,current,167305.0,542829.0,12
12,14,32.47145,-91.8881,Region,Region - Series Initiated,LDH Region 8,8,count,current,108379.0,353159.0,13
13,15,30.5914,-90.3,Region,Region - Series Initiated,LDH Region 9,9,count,current,195731.0,577576.0,14
14,17,0.0,0.0,State,Age - Series Initiated,Age 0-4 Years,1,percentage,current,0.0,309339.0,15
15,18,0.0,0.0,State,Age - Series Initiated,Age 5-17 Years,2,percentage,current,2.309945,799135.0,16
16,19,0.0,0.0,State,Age - Series Initiated,Age 18-29 Years,3,percentage,current,10.58739,790297.0,17
17,20,0.0,0.0,State,Age - Series Initiated,Age 30-39 Years,4,percentage,current,11.77818,629839.0,18
18,21,0.0,0.0,State,Age - Series Initiated,Age 40-49 Years,5,percentage,current,13.08921,554773.0,19
19,22,0.0,0.0,State,Age - Series Initiated,Age 50-59 Years,6,percentage,current,17.60959,616019.0,20
20,23,0.0,0.0,State,Age - Series Initiated,Age 60-69 Years,7,percentage,current,21.90878,521970.0,21
21,24,0.0,0.0,State,Age - Series Initiated,Age 70+ Years,8,percentage,current,22.69978,442244.0,22
22,25,0.0,0.0,State,Age - Series Initiated,Age Unknown,9,percentage,current,0.01714,,23
23,27,0.0,0.0,State,Gender - Series Initiated,Female,1,percentage,current,55.87325,2279968.0,24
24,28,0.0,0.0,State,Gender - Series Initiated,Male,2,percentage,current,43.81683,2383648.0,25
25,29,0.0,0.0,State,Gender - Series Initiated,Unknown,3,percentage,current,0.309919,,26
26,31,0.0,0.0,State,Race - Series Initiated,Asian,1,percentage,current,2.908887,79872.0,27
27,32,0.0,0.0,State,Race - Series Initiated,Black,2,percentage,current,28.95369,1502916.0,28
28,33,0.0,0.0,State,Race - Series Initiated,Native Hawaiian,3,percentage,current,0.209499,1468.0,29
29,34,0.0,0.0,State,Race - Series Initiated,American Indian,4,percentage,current,0.329906,26272.0,30
30,35,0.0,0.0,State,Race - Series Initiated,White,5,percentage,current,58.85585,2901106.0,31
31,36,0.0,0.0,State,Race - Series Initiated,Other,6,percentage,current,7.494558,151982.0,32
32,37,0.0,0.0,State,Race - Series Initiated,Unknown,7,percentage,current,1.247609,,33
33,39,29.65625,-89.5118,Region,Region - Series Complete,LDH Region 1,1,count,current,378588.0,894015.0,34
34,40,30.5681,-91.2789,Region,Region - Series Complete,LDH Region 2,2,count,current,244624.0,681120.0,35
35,41,29.58601,-90.8056,Region,Region - Series Complete,LDH Region 3,3,count,current,121118.0,402776.0,36
36,42,30.14959,-92.0805,Region,Region - Series Complete,LDH Region 4,4,count,current,171630.0,606054.0,37
37,43,30.24969,-93.1643,Region,Region - Series Complete,LDH Region 5,5,count,current,71054.0,300947.0,38
38,44,31.41951,-92.4103,Region,Region - Series Complete,LDH Region 6,6,count,current,75006.0,305140.0,39
39,45,32.23863,-93.405,Region,Region - Series Complete,LDH Region 7,7,count,current,150393.0,542829.0,40
40,46,32.47145,-91.8881,Region,Region - Series Complete,LDH Region 8,8,count,current,98505.0,353159.0,41
41,47,30.5914,-90.3,Region,Region - Series Complete,LDH Region 9,9,count,current,179338.0,577576.0,42
42,49,0.0,0.0,State,Age - Series Complete,Age 0-4 Years,1,percentage,current,0.0,309339.0,43
43,50,0.0,0.0,State,Age - Series Complete,Age 5-17 Years,2,percentage,current,1.43542,799135.0,44
44,51,0.0,0.0,State,Age - Series Complete,Age 18-29 Years,3,percentage,current,9.839719,790297.0,45
45,52,0.0,0.0,State,Age - Series Complete,Age 30-39 Years,4,percentage,current,11.41706,629839.0,46
46,53,0.0,0.0,State,Age - Series Complete,Age 40-49 Years,5,percentage,current,12.86072,554773.0,47
47,54,0.0,0.0,State,Age - Series Complete,Age 50-59 Years,6,percentage,current,17.74827,616019.0,48
48,55,0.0,0.0,State,Age - Series Complete,Age 60-69 Years,7,percentage,current,22.74415,521970.0,49
49,56,0.0,0.0,State,Age - Series Complete,Age 70+ Years,8,percentage,current,23.94588,442244.0,50
50,57,0.0,0.0,State,Age - Series Complete,Age Unknown,9,percentage,current,0.008782,,51
51,59,0.0,0.0,State,Gender - Series Complete,Female,1,percentage,current,56.09473,2279968.0,52
52,60,0.0,0.0,State,Gender - Series Complete,Male,2,percentage,current,43.6166,2383648.0,53
53,61,0.0,0.0,State,Gender - Series Complete,Unknown,3,percentage,current,0.288666,,54
54,63,0.0,0.0,State,Race - Series Complete,Asian,1,percentage,current,2.849723,79872.0,55
55,64,0.0,0.0,State,Race - Series Complete,Black,2,percentage,current,28.41276,1502916.0,56
56,65,0.0,0.0,State,Race - Series Complete,Native Hawaiian,3,percentage,current,0.208891,1468.0,57
57,66,0.0,0.0,State,Race - Series Complete,American Indian,4,percentage,current,0.312398,26272.0,58
