,OBJECTID,Parish,PFIPS,LDHH,Latitude,Longitude,SeriesInt,SeriesComp,Total_2018pop,PercInt_Black,PercInt_White,PercInt_Other,PercInt_RaceUnk,PercComp_Black,PercComp_White,PercComp_Other,PercComp_RaceUnk,PercPop_Black,PercPop_White,PercPop_Other,PercInt_5to17,PercInt_18to29,PercInt_30to39,PercInt_40to49,PercInt_50to59,PercInt_60to69,PercInt_70plus,PercInt_AgeUnk,PercComp_5to17,PercComp_18to29,PercComp_30to39,PercComp_40to49,PercComp_50to59,PercComp_60to69,PercComp_70plus,PercComp_AgeUnk,PercInt_Female,PercInt_Male,PercInt_SexUnk,PercComp_Female,PercComp_Male,PercComp_SexUnk
0,1,Acadia,22001,4,30.2907,-92.412,24343,22187,62568,20.182394,68.245491,9.9248247,1.6472908,19.759319,68.702393,9.8616304,1.6766576,17.8030303030303,79.0675744789669,3.12939521800281,4.3051391,11.900752,12.081502,13.186543,17.758699,20.198826,20.548002,0.020539785,4.0834723,10.911796,11.448145,12.840853,17.94294,21.102448,21.652319,0.018028576,54.253788,45.483299,0.26290926,54.450806,45.278767,0.27042863
1,2,Allen,22003,5,30.6531,-92.8278,7861,7079,25661,24.195395,59.063732,13.916804,2.8240681,24.607996,58.878372,13.759006,2.7546263,19.0093916838783,73.6643154982269,7.32629281789486,4.0452867,10.571175,11.169063,13.49701,17.847603,20.91337,21.931051,0.025442056,3.9694872,9.3374767,10.707727,13.123322,18.067524,21.810989,22.983473,0.0,50.604248,48.632488,0.76326168,50.317841,48.933464,0.74869335
2,3,Ascension,22005,2,30.2036,-90.9113,64563,58977,121176,25.740749,64.919533,8.579217,0.76049751,25.391254,65.496719,8.3710604,0.7409668,21.7848418828811,72.9484386347131,5.26671948240576,7.1496058,14.399888,15.090687,16.246147,17.46666,15.533665,14.085467,0.027879745,6.9399934,13.347576,14.47683,16.219883,17.862896,16.226665,14.907506,0.018651338,53.725819,46.156467,0.11771448,53.968494,45.922985,0.10851688
3,4,Assumption,22007,3,29.9009,-91.0626,10587,9580,22714,31.727591,62.283932,5.0911493,0.89732689,30.876827,63.423801,4.8851776,0.81419623,29.968301488069,67.9712952364181,2.0604032755129,4.3543968,11.032398,11.41022,12.930953,17.918201,21.545292,20.808538,0.0,4.1127348,9.8538618,10.647182,12.818372,18.215031,22.36952,21.983299,0.0,54.104092,45.763672,0.13223764,54.46764,45.386223,0.14613779
4,5,Avoyelles,22009,6,31.0765,-92.0014,19619,17511,40882,32.132118,56.802078,9.1594887,1.9063153,31.962767,57.152645,9.0286102,1.8559762,28.7877305415586,66.3617239861064,4.85054547233501,5.3876343,10.836434,12.365564,13.65513,17.895918,19.883785,19.960243,0.0152913,4.8426704,9.6796303,11.73548,13.482954,18.217121,20.724115,21.318029,0.0,50.802792,48.361282,0.83592439,50.973675,48.243961,0.78236538
5,6,Beauregard,22011,5,30.6488,-93.3433,12859,11136,36769,13.959095,74.951393,9.2308893,1.8586204,13.909842,75.071838,9.0966234,1.9216954,12.4561451222497,82.9040768038293,4.63977807392097,3.779454,10.700677,11.066179,13.212536,17.505249,21.354692,22.365658,0.015553309,3.4482758,9.5456181,10.16523,12.868176,17.762213,22.386854,23.823635,0.0,53.861111,45.952251,0.18663971,54.014008,45.797413,0.18857759
6,7,Bienville,22013,7,32.3474,-93.056,5739,5166,13668,45.443459,47.307892,5.6281581,1.6204914,45.547813,47.328686,5.6329851,1.4905149,43.0494585894059,54.4995610184372,2.45098039215686,3.8856943,9.1130857,9.3221817,10.751002,18.52239,22.146715,26.25893,0.0,3.619822,8.1300812,8.6914444,10.956252,18.641115,22.861013,27.100271,0.0,57.030842,42.428993,0.54016382,57.355789,42.102207,0.54200542
7,8,Bossier,22015,7,32.6796,-93.6052,57204,51357,126131,21.862108,68.479477,8.8507795,0.80763584,21.315498,69.527039,8.4389668,0.7184999,22.3030024339774,72.1059850472921,5.59101251873053,6.4156351,13.778757,14.226278,14.69128,15.832808,17.161386,17.871128,0.022725683,5.9329791,12.506572,13.64371,14.685437,16.346359,18.118271,18.7472,0.019471543,56.135933,43.687504,0.17656107,56.638821,43.189827,0.17134957
8,9,Caddo,22017,7,32.5811,-93.8825,115868,103564,248361,44.35133,48.906513,6.0896883,0.6524666,43.621334,49.937237,5.9171143,0.52431345,48.8981764447719,46.3877178784109,4.71410567681721,5.8523493,11.88335,12.269134,13.662098,16.227085,19.567093,20.515587,0.023302378,5.4169402,10.829053,11.623731,13.434205,16.519255,20.535128,21.621412,0.020277316,57.303139,42.418961,0.27790245,57.742073,41.996254,0.26167393
9,10,Calcasieu,22019,5,30.2294,-93.358,85726,76271,200182,24.567808,60.857849,12.676435,1.8979073,24.382793,61.206749,12.468698,1.9417603,24.9193234156917,70.2235965271603,4.857080057148,5.2352843,13.274853,13.193197,13.669132,16.5819,19.463173,18.571962,0.010498566,4.8013005,12.16583,12.598497,13.394343,16.839952,20.458628,19.732271,0.0091778003,53.128571,46.488811,0.38261437,53.435776,46.194492,0.36973423
10,11,Caldwell,22021,8,32.0924,-92.1166,3776,3468,9996,17.372881,76.774361,4.7934322,1.059322,17.358707,76.931946,4.7577853,0.9515571,16.7166866746699,82.1428571428571,1.14045618247299,3.7605932,9.1896191,9.9311438,11.837924,17.929026,21.398306,25.95339,0.0,3.7197232,8.0738182,9.3425608,11.50519,17.791235,22.116493,27.450981,0.0,53.23093,46.265888,0.50317794,52.912342,46.597462,0.49019608
11,12,Cameron,22023,5,29.9188,-93.1565,2363,2161,6868,2.2852306,86.034698,9.9873047,1.6927634,2.2674687,85.932442,9.9953728,1.80472,4.22248107163658,93.3022714036109,2.47524752475247,2.920017,10.410495,11.680068,12.314854,19.085907,22.809988,20.736353,0.042319085,2.8227673,9.6251736,10.967145,11.800093,18.972698,23.970385,21.795465,0.046274874,48.878544,49.93652,1.1849344,49.097641,49.699215,1.2031467
