,OBJECTID,TractID,Lat,Long,Total_2018Pop,SeriesInt,SeriesComp,parish,pfips,ldhh
0,1,22001960100,30.41013,-92.217194,5935,2399.0,2111.0,Acadia,22001,4
1,2,22001960200,30.415924,-92.395874,5531,2364.0,2195.0,Acadia,22001,4
2,3,22001960300,30.361271,-92.576561,3652,1057.0,972.0,Acadia,22001,4
3,4,22001960400,30.28404,-92.442123,7188,2097.0,1942.0,Acadia,22001,4
4,5,22001960500,30.318356,-92.234291,7285,2298.0,2087.0,Acadia,22001,4
5,6,22001960600,30.242195,-92.230888,6141,2395.0,2130.0,Acadia,22001,4
6,7,22001960700,30.243496,-92.287361,4497,1700.0,1511.0,Acadia,22001,4
7,8,22001960800,30.237949,-92.349106,5023,2140.0,1939.0,Acadia,22001,4
8,9,22001960900,30.21143,-92.405548,5102,1979.0,1752.0,Acadia,22001,4
9,10,22001961000,30.197304,-92.378609,5083,1908.0,1709.0,Acadia,22001,4
10,11,22001961100,30.147688,-92.518761,3778,716.0,658.0,Acadia,22001,4
11,12,22001961200,30.139709,-92.361496,3353,1109.0,1025.0,Acadia,22001,4
12,13,22003950100,30.687477,-92.908836,5002,688.0,617.0,Allen,22003,5
13,14,22003950200,30.853683,-92.634064,5184,786.0,689.0,Allen,22003,5
14,15,22003950300,30.810982,-92.662476,2942,900.0,752.0,Allen,22003,5
15,16,22003950400,30.650875,-92.695152,4209,844.0,752.0,Allen,22003,5
16,17,22003950500,30.517563,-92.826904,8324,2085.0,1894.0,Allen,22003,5
17,18,22005030101,30.317635,-90.884499,8621,3519.0,3197.0,Ascension,22005,2
18,19,22005030102,30.262306,-90.887299,5209,2321.0,2138.0,Ascension,22005,2
19,20,22005030103,30.278994,-90.843185,6398,2354.0,2188.0,Ascension,22005,2
20,21,22005030203,30.325884,-90.970657,11781,6571.0,6113.0,Ascension,22005,2
21,22,22005030204,30.311428,-90.93766,12573,6110.0,5615.0,Ascension,22005,2
22,23,22005030205,30.272415,-90.964294,10708,5789.0,5324.0,Ascension,22005,2
23,24,22005030206,30.279579,-90.927803,11292,4751.0,4287.0,Ascension,22005,2
24,25,22005030300,30.189606,-90.964432,15351,8667.0,7984.0,Ascension,22005,2
25,26,22005030401,30.244034,-90.937309,4965,3068.0,2857.0,Ascension,22005,2
26,27,22005030402,30.222754,-90.931854,7900,4406.0,3993.0,Ascension,22005,2
27,28,22005030500,30.20039,-90.770638,8949,3844.0,3572.0,Ascension,22005,2
28,29,22005030600,30.183094,-90.901169,6041,2284.0,2066.0,Ascension,22005,2
