,FID,PFIPS,PARISH_ABV,PARISH,LDHH,STATE,Shape__Area,Shape__Length
0,1,22031,De Soto,De Soto Parish,7,22,3204705737.88672,366474.49879566
1,2,22095,St. John,St. John the Baptist Parish,3,22,867506834.451172,190537.188545946
2,3,22057,LaFourche,Lafourche Parish,3,22,4154020746.55859,716771.230790823
3,4,22071,Orleans,Orleans Parish,1,22,736569340.285156,225877.847558043
4,5,22085,Sabine,Sabine Parish,7,22,3103864331.16016,855664.951399913
5,6,22105,Tangipahoa,Tangipahoa Parish,9,22,2798765724.26563,271760.903365662
6,7,22103,St. Tammany,St. Tammany Parish,9,22,3072942749.30273,339329.990362877
7,8,22063,Livingston,Livingston Parish,9,22,2285928775.64844,267279.516075289
8,9,22089,St. Charles,St. Charles Parish,3,22,1234719815.6875,158803.854824266
9,10,22019,Calcasieu,Calcasieu Parish,5,22,3809092088.71875,364688.280909083
10,11,22111,Union,Union Parish,8,22,3330551002.89063,272795.406798509
11,12,22021,Caldwell,Caldwell Parish,8,22,1956988187.26953,236130.538875671
12,13,22107,Tensas,Tensas Parish,8,22,2316036232.16797,321142.683262797
13,14,22049,Jackson,Jackson Parish,8,22,2109731513.20313,205943.157210085
14,15,22043,Grant,Grant Parish,6,22,2380184146.93359,324525.49843473
15,16,22061,Lincoln,Lincoln Parish,8,22,1729140935.3125,194168.165673594
16,17,22053,Jeff. Davis,Jefferson Davis Parish,5,22,2294297780.27344,305159.649869494
17,18,22055,Lafayette,Lafayette Parish,4,22,936677350.714844,181407.44428638
18,19,22035,E. Carroll,East Carroll Parish,8,22,1623906614.12109,298060.070010584
19,20,22037,E. Feliciana,East Feliciana Parish,2,22,1606577366.26953,222019.451737669
20,21,22047,Iberville,Iberville Parish,2,22,2273907256.01172,256986.302694314
21,22,22083,Richland,Richland Parish,8,22,2057641850.14844,316982.883799857
22,23,22099,St. Martin,St. Martin Parish,4,22,2836463862.50391,440023.163731012
23,24,22027,Claiborne,Claiborne Parish,7,22,2822384368.0,246780.731930262
24,25,22097,St. Landry,St. Landry Parish,4,22,3293148103.64063,337796.502788553
25,26,22077,Pte. Coupee,Pointe Coupee Parish,2,22,2076412956.12891,287404.274152141
26,27,22059,La Salle,La Salle Parish,6,22,2375996402.82422,306467.421778904
27,28,22119,Webster,Webster Parish,7,22,2255769070.74609,283224.188246423
28,29,22093,St. James,St. James Parish,3,22,893806746.824219,144948.35297587
29,30,22067,Morehouse,Morehouse Parish,8,22,2964435053.22266,317436.677369481
30,31,22079,Rapides,Rapides Parish,6,22,4835158478.30859,425612.610257533
31,32,22009,Avoyelles,Avoyelles Parish,6,22,3066285200.99609,311094.053012509
32,33,22127,Winn,Winn Parish,6,22,3451847644.69141,308241.514749793
33,34,22025,Catahoula,Catahoula Parish,6,22,2651712884.30469,425587.508910706
34,35,22007,Assumption,Assumption Parish,3,22,1260598227.64453,177288.233329779
35,36,22017,Caddo,Caddo Parish,7,22,3426146696.32422,504086.115051357
36,37,22117,Washington,Washington Parish,9,22,2382841726.4375,268556.612006972
37,38,22033,EBR,East Baton Rouge Parish,2,22,1647140605.62891,266330.296887776
38,39,22069,Natchitoches,Natchitoches Parish,7,22,4664173296.0625,447816.002489607
39,40,22013,Bienville,Bienville Parish,7,22,2991788234.21875,288231.980733256
40,41,22015,Bossier,Bossier Parish,7,22,3180134443.65234,468290.609952746
41,42,22003,Allen,Allen Parish,5,22,2689155889.71484,250065.53376272
42,43,22073,Ouachita,Ouachita Parish,8,22,2305775281.06641,239968.118213792
43,44,22091,St. Helena,St. Helena Parish,9,22,1442723747.53125,195726.664693193
44,45,22125,W. Feliciana,West Feliciana Parish,2,22,1502698774.00391,271902.373349126
45,46,22123,W. Carroll,West Carroll Parish,8,22,1325076446.23047,208073.684104436
46,47,22029,Concordia,Concordia Parish,6,22,2667468393.70703,450251.80557036
47,48,22121,WBR,West Baton Rouge Parish,2,22,712859758.355469,166532.385891512
48,49,22065,Madison,Madison Parish,8,22,2369726705.25391,365220.835117334
49,50,22005,Ascension,Ascension Parish,2,22,1053449967.54688,185568.918579842
50,51,22001,Acadia,Acadia Parish,4,22,2291389673.0,283820.161242151
51,52,22011,Beauregard,Beauregard Parish,5,22,4092911688.01172,358233.305286147
52,53,22041,Franklin,Franklin Parish,8,22,2301807399.17188,350923.465020062
53,54,22039,Evangeline,Evangeline Parish,4,22,2389901397.85938,249362.284550423
54,55,22115,Vernon,Vernon Parish,6,22,4754534563.14063,342795.982864004
55,56,22081,Red River,Red River Parish,7,22,1456177402.04688,212142.966511373
56,57,22113,Vermilion,Vermilion Parish,4,22,4495899125.58203,416261.139374439
57,58,22075,Plaquemines,Plaquemines Parish,1,22,3500527962.02734,1364688.10152198
58,59,22101,St. Mary,St. Mary Parish,3,22,2347982955.43359,339104.550247352
59,60,22023,Cameron,Cameron Parish,5,22,5708893768.04297,389335.594015263
60,61,22045,Iberia,Iberia Parish,4,22,2163864005.46094,388054.405076031
61,62,22087,St. Bernard,St. Bernard Parish,1,22,1678863439.92969,1221974.11374518
62,63,22109,Terrebonne,Terrebonne Parish,3,22,4852913483.87305,1327788.7770253
63,64,22051,Jefferson,Jefferson Parish,1,22,1284515462.10938,488751.079753915
