,TractID,Lat,Long,Total_2018Pop,SeriesInt,SeriesComp,parish,pfips,ldhh,FID
0,22051022200,30.006435,-90.139091,2518,1516.0,1367.0,Jefferson,22051,1,1
1,22067950400,32.784256,-91.928368,3481,1010.0,792.0,Morehouse,22067,8,2
2,22051022301,30.007494,-90.130096,2859,1850.0,1669.0,Jefferson,22051,1,3
3,22051022302,29.997202,-90.128227,1695,1117.0,1002.0,Jefferson,22051,1,4
4,22067950500,32.779964,-91.902802,4026,1530.0,1238.0,Morehouse,22067,8,5
5,22067950600,32.679615,-91.752037,2624,946.0,815.0,Morehouse,22067,8,6
6,22051022303,30.006662,-90.124268,2998,1601.0,1336.0,Jefferson,22051,1,7
7,22067950700,32.668705,-91.893532,2778,1099.0,930.0,Morehouse,22067,8,8
8,22051022400,29.992752,-90.132729,3367,2352.0,2149.0,Jefferson,22051,1,9
9,22067950800,32.765427,-91.932037,3919,1312.0,1090.0,Morehouse,22067,8,10
10,22051022500,29.993881,-90.142387,2959,1918.0,1721.0,Jefferson,22051,1,11
11,22051022600,29.982449,-90.14373,2941,2298.0,2086.0,Jefferson,22051,1,12
12,22069000100,31.99398,-93.010086,1755,610.0,530.0,Natchitoches,22069,7,13
13,22069000200,31.912998,-93.112389,3781,802.0,661.0,Natchitoches,22069,7,14
14,22051022700,29.985874,-90.152092,2849,1806.0,1648.0,Jefferson,22051,1,15
15,22051022800,29.984287,-90.159431,3149,1874.0,1623.0,Jefferson,22051,1,16
16,22069000300,31.818136,-93.288742,4656,1606.0,1381.0,Natchitoches,22069,7,17
17,22069000400,31.802652,-93.083763,3500,1288.0,1109.0,Natchitoches,22069,7,18
18,22051022900,29.978664,-90.169731,2727,1708.0,1493.0,Jefferson,22051,1,19
19,22051023001,29.98801,-90.173798,1887,1265.0,1146.0,Jefferson,22051,1,20
20,22069000500,31.76343,-93.075073,4386,2299.0,1979.0,Natchitoches,22069,7,21
21,22069000600,31.748705,-93.059067,7930,2208.0,1865.0,Natchitoches,22069,7,22
22,22051023002,29.988644,-90.1838,4948,2851.0,2541.0,Jefferson,22051,1,23
23,22051023003,29.98909,-90.195541,2799,1833.0,1654.0,Jefferson,22051,1,24
24,22069000700,31.759239,-93.095131,3711,1265.0,1064.0,Natchitoches,22069,7,25
25,22069000800,31.615095,-93.193314,4069,1347.0,1146.0,Natchitoches,22069,7,26
26,22051023100,29.979504,-90.183746,2566,1306.0,1124.0,Jefferson,22051,1,27
27,22051023200,29.98065,-90.201347,2730,1556.0,1341.0,Jefferson,22051,1,28
28,22069000900,31.508558,-92.977577,5175,1696.0,1444.0,Natchitoches,22069,7,29
29,22071000100,29.953106,-90.052071,2735,1469.0,1360.0,Orleans,22071,1,30
30,22051023300,29.986673,-90.206436,1841,1088.0,951.0,Jefferson,22051,1,31
31,22071000200,29.945894,-90.052353,1704,619.0,531.0,Orleans,22071,1,32
32,22051023400,29.992193,-90.209969,3381,2069.0,1853.0,Jefferson,22051,1,33
33,22071000300,29.94095,-90.048988,1263,625.0,532.0,Orleans,22071,1,34
34,22071000400,29.946333,-90.04248,1942,1207.0,1002.0,Orleans,22071,1,35
35,22051023500,29.991446,-90.224594,4229,2736.0,2444.0,Jefferson,22051,1,36
36,22051023600,29.98263,-90.224495,4573,2763.0,2362.0,Jefferson,22051,1,37
37,22071000601,29.932783,-90.040955,816,427.0,336.0,Orleans,22071,1,38
