,OBJECTID_12,BLOCK,SOURCE,DHH_ID,SERIAL_DAT,CONTAMINAN,AMOUNT,WELL_DEPTH,AQ_SYSTEM,X_LONGDD,Y_LATDD,D_RANGE,EPA_MCL,PARISH,PFIPS,State
0,1,Block_053164,SDWIS,017-9410,1253059200000,Lead,0.03,330,Carrizo-Wilcox,-93.85778,32.34083,100 - 499,0.015 mg / L,Caddo,22017,Louisiana
1,4,Block_053822,SDWIS,017-525,854928000000,Arsenic,0.03,180,Carrizo-Wilcox,-93.76361,32.37389,100 - 499,0.010 mg / L,Caddo,22017,Louisiana
2,5,Block_054033,SDWIS,017-588,965606400000,Arsenic,0.02,237,Carrizo-Wilcox,-93.80083,32.38028,100 - 499,0.010 mg / L,Caddo,22017,Louisiana
3,6,Block_054458,DEQ_EPA_STORET,017-639,789696000000,Barium,30.1,200,Carrizo-Wilcox,-93.75639,32.40889,100 - 499,2.0 mg / L,Caddo,22017,Louisiana
4,7,Block_054462,DEQ_EPA_STORET,017-586,795139200000,Antimony,2.2,60,Red River Alluvial,-93.70583,32.40528,< 100,0.006 mg / L,Caddo,22017,Louisiana
5,8,Block_054871,SDWIS,017-521,888192000000,Arsenic,0.02,191,Carrizo-Wilcox,-93.95111,32.435,100 - 499,0.010 mg / L,Caddo,22017,Louisiana
6,9,Block_055088,DEQ_EPA_STORET,017-642,789696000000,Barium,17.5,210,Carrizo-Wilcox,-93.88444,32.44944,100 - 499,2.0 mg / L,Caddo,22017,Louisiana
7,10,Block_055716,DEQ_EPA_STORET,017-630,789696000000,Barium,199,240,Carrizo-Wilcox,-93.77889,32.48583,100 - 499,2.0 mg / L,Caddo,22017,Louisiana
8,11,Block_056552,DEQ_EPA_STORET,017-376,795139200000,Barium,368.7,80,Red River Alluvial,-93.76778,32.52889,< 100,2.0 mg / L,Caddo,22017,Louisiana
9,12,Block_057173,SDWIS,017-549,909360000000,Arsenic,0.02,182,Carrizo-Wilcox,-93.76722,32.5725,100 - 499,0.010 mg / L,Caddo,22017,Louisiana
10,13,Block_060262,SDWIS,017-523,860976000000,Arsenic,0.03,180,Carrizo-Wilcox,-93.83111,32.74861,100 - 499,0.010 mg / L,Caddo,22017,Louisiana
11,14,Block_062676,DEQ_EPA_STORET,017-453,776390400000,Barium,29,228,Carrizo-Wilcox,-93.98194,32.89194,100 - 499,2.0 mg / L,Caddo,22017,Louisiana
12,15,Block_063897,SDWIS,017-693,860976000000,Arsenic,0.02,400,Carrizo-Wilcox,-93.9925,32.97083,100 - 499,0.010 mg / L,Caddo,22017,Louisiana
13,18,Block_053822,SDWIS,017-526,862790400000,Arsenic,0.02,220,Carrizo-Wilcox,-93.76278,32.37306,100 - 499,0.010 mg / L,Caddo,22017,Louisiana
14,19,Block_054458,DEQ_EPA_STORET,017-639,789696000000,Chromium,1.1,200,Carrizo-Wilcox,-93.75639,32.40889,100 - 499,0.1 mg /L,Caddo,22017,Louisiana
15,20,Block_054462,DEQ_EPA_STORET,017-586,795139200000,Barium,142,60,Red River Alluvial,-93.70583,32.40528,< 100,2.0 mg / L,Caddo,22017,Louisiana
