,FID,DISTRICT_I,NAME,IDEAL_POP,Shape__Area,Shape__Length
0,1,3,District 3,116240,293541787.923828,222578.316571391
1,2,6,District 6,116240,1471742669.57422,559348.700122669
2,3,12,District 12,116240,5044011287.52734,459870.483761215
3,4,10,District 10,116240,95553818.8046875,69222.6628142636
4,5,8,District 8,116240,2413456972.02344,1165353.87215641
5,6,11,District 11,116240,1268750489.30859,281018.818703234
6,7,13,District 13,116240,1448200850.78516,290961.688073073
7,8,14,District 14,116240,238053450.957031,134380.238337735
8,9,15,District 15,116240,479957805.671875,149672.947568771
9,10,16,District 16,116240,184388386.753906,95165.3685029441
10,11,17,District 17,116240,9115326859.3457,1041937.19668329
11,12,19,District 19,116240,2365038661.30078,436810.528197701
12,13,20,District 20,116240,6373572655.70117,1881625.20755746
13,14,21,District 21,116240,4844001867.93359,816089.597237337
14,15,22,District 22,116240,4349828296.14648,592976.486688343
15,16,23,District 23,116240,324124926.617188,96306.5400931183
16,17,24,District 24,116240,2024757644.25,495217.928281425
17,18,25,District 25,116240,10448627568.1055,711090.236093016
18,19,26,District 26,116240,5360733378.64063,598476.600454766
19,20,27,District 27,116240,689489120.652344,202090.851548917
20,21,33,District 33,116240,10093102946.6953,811597.280849343
21,22,36,District 36,116240,7908253517.57031,713704.344858007
22,23,39,District 39,116240,2040120562.0625,307162.921869674
23,24,29,District 29,116240,4148761438.06641,1159276.56111781
24,25,30,District 30,116240,10939011396.4141,704595.85276999
25,26,31,District 31,116240,13786323949.1445,1739993.76654905
26,27,32,District 32,116240,15343397389.1992,1394841.24845665
27,28,34,District 34,116240,9532059532.38672,1335921.77763428
28,29,35,District 35,116240,6386036703.30469,934838.118543813
29,30,37,District 37,116240,448651110.957031,180099.962172083
30,31,38,District 38,116240,4469068056.26172,542914.772825797
31,32,28,District 28,116240,8344615982.00781,817165.229204798
32,33,9,District 9,116240,72272988.2128906,65297.9307522999
33,34,1,District 1,116240,5183612991.18359,2410955.14353339
34,35,7,District 7,116240,237583891.623047,115797.268582145
35,36,4,District 4,116240,96160862.7988281,101986.165668057
36,37,5,District 5,116240,55275930.1894531,55176.5451715372
37,38,2,District 2,116240,2603415871.2207,614764.580994537
38,39,18,District 18,116240,1828244976.10156,318094.085529916
