,Parish,PFIPS,LDHH,Latitude,Longitude,SeriesInt,SeriesComp,Total_2018pop,PercInt_Black,PercInt_White,PercInt_Other,PercInt_RaceUnk,PercComp_Black,PercComp_White,PercComp_Other,PercComp_RaceUnk,PercPop_Black,PercPop_White,PercPop_Other,PercInt_5to17,PercInt_18to29,PercInt_30to39,PercInt_40to49,PercInt_50to59,PercInt_60to69,PercInt_70plus,PercInt_AgeUnk,PercComp_5to17,PercComp_18to29,PercComp_30to39,PercComp_40to49,PercComp_50to59,PercComp_60to69,PercComp_70plus,PercComp_AgeUnk,PercInt_Female,PercInt_Male,PercInt_SexUnk,PercComp_Female,PercComp_Male,PercComp_SexUnk,FID
0,Acadia,22001,4,30.2907,-92.412,22385,18735,62568,20.12508,67.33527,10.69466,1.844986,19.77048,67.49934,10.86736,1.862824,17.80303,79.06757,3.129395,4.05182,10.61425,11.41836,12.87916,18.04333,21.32678,21.64396,0.022336,3.325327,9.084601,10.21617,12.14839,17.8276,23.01575,24.36616,0.016013,54.70181,45.06142,0.236766,54.99867,44.76114,0.240192,1
1,Allen,22003,5,30.6531,-92.8278,7037,5805,25661,24.1296,57.22609,15.60324,3.041069,24.4789,56.57192,15.65892,3.290267,19.00939,73.66432,7.326293,3.680546,9.165837,10.64374,13.15902,17.89115,21.95538,23.47591,0.028421,3.186908,7.717485,9.526271,12.05857,17.89836,23.66925,25.94315,0.0,50.16342,49.09763,0.738951,50.14643,49.13006,0.723514,2
2,Ascension,22005,2,30.2036,-90.9113,60478,51245,121176,25.57294,64.55405,9.026423,0.846589,25.27466,65.00732,8.902332,0.815689,21.78484,72.94844,5.266719,6.881841,13.5107,14.6731,16.19101,17.866,16.27534,14.58051,0.021495,5.971314,11.88409,13.52132,15.89033,18.49937,17.72856,16.48551,0.019514,53.8791,45.99855,0.122359,54.23749,45.66104,0.101473,3
3,Assumption,22007,3,29.9009,-91.0626,9947,8228,22714,31.16517,61.65678,6.202875,0.975168,30.7122,62.31162,6.052504,0.923675,29.9683,67.9713,2.060403,4.051473,9.661204,10.95808,12.94863,18.27687,22.48919,21.61456,0.0,3.038405,7.668935,9.406903,12.06855,18.59504,24.74477,24.47739,0.0,54.07661,45.75249,0.170906,54.54546,45.29655,0.157997,4
4,Avoyelles,22009,6,31.0765,-92.0014,17653,14286,40882,31.59236,55.91684,10.28154,2.209256,30.98138,56.16688,10.49279,2.358953,28.78773,66.36172,4.850545,4.571461,9.715062,11.67507,13.49346,18.18954,20.93695,21.40713,0.01133,3.149937,7.566849,10.1988,12.97774,18.78062,22.78454,24.54151,0.0,51.32838,47.84456,0.827055,51.64497,47.59205,0.762985,5
5,Beauregard,22011,5,30.6488,-93.3433,11402,9511,36769,13.86599,73.17137,10.62094,2.341694,13.94175,72.94711,10.60877,2.502366,12.45615,82.90408,4.639778,3.455534,8.95457,10.22628,12.87493,17.77758,22.69777,23.99579,0.017541,2.828304,7.496583,9.136789,12.27,17.73736,24.19304,26.33793,0.0,54.49044,45.35169,0.157867,54.38965,45.44212,0.168226,6
6,Bienville,22013,7,32.3474,-93.056,5247,4463,13668,44.73032,47.11264,6.403659,1.753383,44.38718,47.43446,6.565091,1.613265,43.04946,54.49956,2.45098,3.144654,7.833047,8.919382,10.59653,18.6964,23.19421,27.61578,0.0,2.240645,6.63231,7.618194,10.419,18.59736,24.55747,29.93502,0.0,57.0993,42.30989,0.590814,57.67421,41.87766,0.448129,7
7,Bossier,22015,7,32.6796,-93.6052,51592,43339,126131,21.16607,68.74903,9.160335,0.924562,20.75729,69.57013,8.814232,0.858349,22.303,72.10599,5.591013,5.758645,12.18988,13.54474,14.66313,16.41727,18.35168,19.05528,0.019383,4.351739,10.54247,12.42761,14.3312,16.98701,20.09276,21.25337,0.013844,56.91968,42.91169,0.168631,57.54863,42.30139,0.14998,8
8,Caddo,22017,7,32.5811,-93.8825,105684,89569,248361,43.27618,49.55244,6.450361,0.721017,42.35282,50.71286,6.314685,0.619634,48.89818,46.38772,4.714106,5.363158,10.80201,11.56467,13.494,16.62219,20.66917,21.46304,0.021763,3.961192,9.321305,10.67557,13.00003,17.08292,22.30571,23.63988,0.013397,57.62083,42.0953,0.283865,58.19313,41.54227,0.2646,9
9,Calcasieu,22019,5,30.2294,-93.358,77752,65859,200182,24.22189,59.97273,13.55335,2.252032,23.9451,59.91285,13.76122,2.380844,24.91932,70.2236,4.85708,4.873187,12.13474,12.64148,13.32313,16.91789,20.54867,19.54805,0.012861,3.897721,10.65154,11.64761,12.7773,17.19583,22.12454,21.69331,0.012147,53.60505,45.98338,0.411565,53.83471,45.76595,0.399338,10
10,Caldwell,22021,8,32.0924,-92.1166,3468,2997,9996,16.81084,76.78777,5.219146,1.182238,17.21722,76.24291,5.472139,1.067734,16.71669,82.14286,1.140456,3.431373,7.295271,9.313726,11.56286,18.05075,22.57785,27.76817,0.0,3.003003,6.106106,7.941275,11.07774,17.55088,23.65699,30.664,0.0,53.54671,45.93426,0.519031,53.45345,46.07941,0.467134,11
11,Cameron,22023,5,29.9188,-93.1565,2152,1827,6868,2.276952,84.99071,10.54833,2.184015,2.353585,83.85331,11.38478,2.40832,4.222481,93.30227,2.475248,2.834573,8.736059,11.29182,11.80297,19.65613,24.07063,21.60781,0.0,2.025178,7.772305,10.12589,10.6185,19.21182,25.99891,24.2474,0.0,48.74535,50.0,1.254647,48.54953,50.13684,1.313629,12
12,Catahoula,22025,6,31.6337,-91.9015,3460,2840,9893,33.09249,61.06936,3.843931,1.99422,32.5,61.5493,3.978873,1.971831,32.44718,66.34994,1.202871,4.017341,7.861272,9.277456,11.7341,17.77457,24.59538,24.71098,0.028902,2.887324,6.232394,7.852113,10.56338,18.34507,26.58451,27.53521,0.0,52.80347,46.50289,0.693642,53.1338,46.19718,0.669014,13
13,Claiborne,22027,7,32.8229,-92.9957,6101,5257,16153,47.27094,47.1562,3.081462,2.491395,46.43333,47.86,3.138672,2.568005,51.98415,45.79954,2.216307,3.573185,7.506966,10.35896,12.98148,19.43944,21.47189,24.6517,0.016391,1.673959,6.391478,9.967662,12.95416,19.64999,22.57942,26.78334,0.0,48.15604,51.40141,0.44255,47.09911,52.52045,0.380445,14
14,Concordia,22029,6,31.4464,-91.64,7599,6205,20021,37.84708,49.9013,6.895644,5.355968,37.46978,50.66882,7.203868,4.657534,41.10684,57.83427,1.058888,4.553231,10.55402,11.00145,12.778,16.1337,22.26609,22.6872,0.026319,3.4166,9.18614,10.36261,11.63578,15.74537,23.69057,25.94682,0.016116,51.90157,47.33518,0.763258,51.1523,48.09025,0.757454,15
15,De Soto,22031,7,32.0572,-93.7354,10513,8708,27216,38.40959,56.16855,4.556263,0.865595,38.98714,56.04042,4.180064,0.792375,35.74368,60.13742,4.118901,4.518216,8.779606,9.768858,13.4405,17.98725,22.07743,23.42814,0.0,3.353238,7.11989,8.670188,12.51723,17.94901,24.0124,26.37804,0.0,56.90098,42.90878,0.190241,57.16583,42.65044,0.183739,16
16,East Baton Rouge,22033,2,30.5385,-91.0956,232121,201358,444094,39.35965,48.30627,11.11015,1.223931,38.23687,49.72636,10.87565,1.161116,45.94433,47.34043,6.715245,5.966716,15.14684,14.2038,14.1241,16.0524,17.58695,16.89593,0.023264,5.104838,13.61654,13.40349,13.84003,16.55708,18.86689,18.59772,0.013409,55.2436,44.5634,0.193003,55.6844,44.1388,0.1768,17
17,East Carroll,22035,8,32.7328,-91.235,2752,2389,7225,63.80814,30.01453,4.869186,1.30814,63.29008,30.84973,4.81373,1.046463,69.91003,29.13495,0.955017,4.941861,7.267442,9.738372,15.22529,18.75,23.00145,21.07558,0.0,3.850984,5.94391,8.706572,14.2319,19.21306,24.86396,23.18962,0.0,50.54506,49.20058,0.25436,50.43951,49.30933,0.251151,18
18,East Feliciana,22037,2,30.8452,-91.0455,11126,9495,19499,46.81826,46.80928,4.233327,2.139134,46.56135,47.01422,4.381253,2.043181,44.04328,54.16688,1.789835,3.469351,9.680029,11.59446,14.41668,18.67697,22.11936,20.03416,0.008988,2.769879,7.983149,10.20537,14.09163,18.96788,23.75987,22.21169,0.010532,46.92612,52.30092,0.772964,47.57241,51.73249,0.695103,19
19,Evangeline,22039,4,30.7292,-92.4059,14414,12153,33636,28.99958,55.96642,12.36992,2.664077,28.42097,55.65704,13.09142,2.830577,27.50922,67.75776,4.733024,4.835577,12.09935,11.90509,12.93187,17.84376,20.41765,19.94589,0.020813,3.916729,10.96849,10.96849,12.31795,17.99556,21.7148,22.10154,0.016457,55.16859,44.17927,0.652144,55.81338,43.52835,0.658274,20
20,Franklin,22041,8,32.1335,-91.6737,7349,6170,20322,36.65805,57.74936,4.599265,0.993332,35.68882,58.80065,4.554295,0.95624,33.03317,65.55457,1.412263,3.197714,8.205198,10.28711,12.42346,17.86638,22.50646,25.45925,0.054429,2.090762,6.726094,9.157212,11.66937,18.31443,23.95462,28.0389,0.048622,54.19785,45.39393,0.408219,54.48946,45.05673,0.453809,21
21,Grant,22043,6,31.5999,-92.5595,6905,5715,22348,12.22303,78.66763,5.879798,3.229544,12.8259,77.81278,5.949256,3.412073,16.70396,78.53499,4.761052,3.895728,8.587979,9.123823,12.62853,18.52281,22.50543,24.7357,0.0,2.677165,6.806649,8.048994,11.82852,18.74016,23.69204,28.20647,0.0,54.32296,45.08328,0.593773,54.29571,45.16185,0.542432,22
22,Iberia,22045,4,29.968,-91.7532,30472,25545,72691,33.20425,53.44251,11.81084,1.5424,33.17675,53.12977,12.04933,1.644157,31.71369,61.09285,7.193463,5.441061,11.00354,10.74757,12.77566,18.87306,21.08493,20.06432,0.009845,4.384419,9.266001,9.731846,12.02192,19.15052,22.95165,22.48972,0.003915,54.02008,45.66159,0.318325,54.41769,45.25348,0.328831,23
23,Iberville,22047,2,30.2184,-91.3602,16277,13481,32956,45.57351,47.23229,5.664434,1.529766,45.09309,48.42371,4.969958,1.513241,48.35235,49.3021,2.345552,4.890336,11.52547,12.37329,14.22252,19.14358,20.1327,17.70597,0.006144,3.909205,9.094281,10.96358,13.82687,19.55345,22.31289,20.33974,0.0,50.88776,48.73134,0.380906,51.7024,47.95638,0.341221,24
24,Jackson,22049,8,32.3022,-92.5578,6622,5877,15926,25.26427,55.40622,17.20024,2.129266,24.31513,55.06211,18.59792,2.024843,29.9573,68.44782,1.594876,2.990033,14.48203,10.35941,11.37119,16.06765,19.84295,24.88674,0.0,2.212013,14.02076,9.86898,10.90693,15.70529,20.6568,26.62923,0.0,61.34098,38.08517,0.573845,62.05547,37.33197,0.612557,25
25,Jefferson,22051,1,29.7304,-90.1281,268631,233131,435300,23.587,58.40838,16.78362,1.221006,22.88585,59.56823,16.34489,1.201042,26.79095,62.80611,10.40294,6.193626,14.10746,14.52848,13.98312,16.53979,17.64093,16.98613,0.020474,5.115579,12.57233,13.67128,13.77509,17.10283,19.01678,18.73282,0.013297,53.87539,45.95151,0.1731,54.38445,45.44741,0.168146,26
26,Jefferson Davis,22053,5,30.268,-92.8141,11758,9883,31467,18.55758,70.02041,9.176731,2.24528,18.74937,69.59425,9.238086,2.418294,16.57292,79.89322,3.533861,3.750638,9.457391,10.15479,12.32352,17.46045,22.50383,24.33237,0.01701,3.167055,8.104827,8.89406,11.29212,17.34291,24.01093,27.1881,0.0,53.70812,45.98571,0.306175,54.44703,45.2393,0.31367,27
