,FID,ZCTA,TOTAL_POP,WHITE,BLACK,ASIAN,OTHER,MALE,M_UNDER_5,M_5_17,M_18_21,M_22_64,M_65_PLUS,FEMALE,F_UNDER_5,F_5_17,F_18_21,F_22_64,F_65_PLUS,Shape__Area,Shape__Length
0,1,70464,312,295,5,0,12,154,9,25,5,88,27,158,11,24,7,90,26,34884597.8164063,36790.2259233225
1,2,70465,776,80,689,2,5,362,38,97,17,187,23,414,35,106,24,217,32,17414141.6015625,27072.6856789627
2,3,70466,8512,6159,1869,32,452,4357,355,799,292,2539,372,4155,304,716,240,2431,464,111394716.335938,84853.1614712034
3,4,70471,21383,19994,473,451,465,10263,536,2382,489,5681,1175,11120,534,2203,446,6216,1721,104705301.898438,81574.0905831415
4,5,70501,31358,7819,22524,136,879,15296,1079,2792,1336,8696,1393,16062,1011,2721,1559,8600,2171,54511618.7070313,40314.1555839007
5,6,70503,27816,23985,2249,912,670,13593,742,2298,1356,7689,1508,14223,716,2150,1506,7787,2064,41520701.84375,49025.2876750226
6,7,70506,41163,29356,8785,919,2103,19996,1329,2878,1859,12206,1724,21167,1352,2859,2067,12194,2695,72055285.1015625,64395.43520803
7,8,70507,16558,8702,7206,109,541,7902,690,1618,457,4380,757,8656,642,1580,473,5023,938,73944320.8125,63077.9449367966
8,9,70508,34810,29341,3700,707,1062,16927,1174,2982,857,10411,1503,17883,1153,2974,929,10767,2060,87275674.53125,65272.7351802002
9,10,70510,25313,17572,5974,858,909,12160,1007,2468,622,6617,1446,13153,942,2437,697,7093,1984,807337148.761719,251582.342960692
10,11,70512,9780,7763,1825,14,178,4840,342,983,267,2696,552,4940,343,910,214,2820,653,334281304.25,110294.297712997
11,12,70513,124,102,19,1,2,62,4,7,4,38,9,62,3,10,2,42,5,6937191.59765625,12540.707672589
12,13,70514,2545,920,1525,16,84,1241,99,233,74,678,157,1304,82,248,79,720,175,18215924.0234375,22780.0508965597
13,14,70515,3838,3079,468,24,267,2148,135,328,164,1319,202,1690,133,304,96,916,241,259902979.398438,146740.971399519
14,15,70516,1546,1356,168,2,20,802,67,213,44,402,76,744,61,147,44,408,84,137648372.332031,76304.8917992779
15,16,70001,37996,29552,5395,851,2198,18409,1200,2464,775,11648,2322,19587,1167,2344,860,11826,3390,20781247.0117188,27489.8573836801
16,17,70002,18879,13465,2082,1165,2167,9387,615,1195,433,5790,1354,9492,567,1147,391,5395,1992,11101405.4472656,13703.4533648987
17,18,70003,40150,32306,4701,1008,2135,19439,1164,3133,895,11513,2734,20711,1148,3003,877,11624,4059,24480453.2050781,30694.0689280149
18,19,70005,24339,22181,665,628,865,11784,701,1551,450,7193,1889,12555,609,1468,368,7226,2884,14525339.9882813,19306.9216984081
19,20,70006,15703,12251,1246,844,1362,7710,509,1124,318,4569,1190,7993,459,1056,328,4476,1674,9087868.92773438,13523.6357177293
20,21,70030,4585,4103,348,8,126,2296,151,466,122,1287,270,2289,140,442,109,1292,306,126821238.759766,72154.0807851306
21,22,70031,1316,747,552,0,17,654,41,114,29,386,84,662,41,101,32,411,77,12218343.4804688,16125.8302724141
22,23,70032,3635,2959,362,47,267,1852,129,308,104,1135,176,1783,139,261,99,1061,223,6061464.484375,13245.7738434791
23,24,70036,1227,1115,67,1,44,621,26,80,31,382,102,606,37,95,22,351,101,17300198.8789063,30751.6272113557
24,25,70037,15590,12713,1703,335,839,7740,615,1772,359,4287,707,7850,517,1596,384,4436,917,233311655.632813,137159.068920706
25,26,70038,426,273,93,29,31,229,13,50,16,127,23,197,11,45,6,114,21,4784519.9140625,22768.6508759063
26,27,70039,2460,759,1600,27,74,1146,116,265,52,634,79,1314,116,278,80,726,114,42049757.3085938,36968.6100509515
27,28,70040,1604,721,832,2,49,799,45,139,42,435,138,805,44,122,50,458,131,248732133.46875,221312.430536076
28,29,70041,2381,1550,346,303,182,1256,89,198,55,784,130,1125,72,234,53,641,125,37830049.3457031,88280.9840362891
29,30,70043,16760,12734,2207,502,1317,8599,744,1459,549,5201,646,8161,663,1373,513,4757,855,28798873.46875,30862.1473393346
30,31,70047,13006,9790,2648,142,426,6431,420,1376,358,3732,545,6575,407,1285,301,3961,621,37555727.3378906,29573.7832891807
31,32,70049,2481,111,2344,0,26,1131,64,210,63,622,172,1350,104,214,76,734,222,63259219.0742188,59312.6949191706
32,33,70050,74,26,38,7,3,41,0,9,2,22,8,33,3,8,2,16,4,2025311.24804688,14056.6796242871
33,34,70051,2518,1214,1279,0,25,1206,98,202,75,711,120,1312,108,219,83,730,172,31083170.0234375,37481.2001825189
34,35,70052,3795,1991,1735,16,53,1789,148,363,108,969,201,2006,132,372,117,1068,317,10336332.4726563,23467.5116795975
