,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Omicron,Delta
0,0,0,0,0,0,0,0,0,0,0,12/26 - 1/1,0.97,0.03
1,1,1,1,1,1,1,1,1,1,12/26 - 1/1,,0.97,0.03
2,2,2,2,2,2,2,2,2,12/26 - 1/1,,,0.97,0.03
3,3,3,3,3,3,3,3,12/26 - 1/1,,,,0.97,0.03
4,4,4,4,4,4,4,12/26 - 1/1,,,,,0.97,0.03
5,5,5,5,5,5,12/26 - 1/1,,,,,,0.97,0.03
6,6,6,6,6,12/26 - 1/1,,,,,,,0.97,0.03
7,7,7,7,12/26 - 1/1,,,,,,,,0.97,0.03
8,8,8,12/26 - 1/1,,,,,,,,,0.97,0.03
9,9,12/26 - 1/1,,,,,,,,,,0.97,0.03
10,12/26 - 1/1,,,,,,,,,,,0.97,0.03
12/26 - 1/1,,,,,,,,,,,,0.97,0.03
